,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,es_gsd-ud-train_Case=Com,3.391164991562634,4.743416490252569,4.743416490252569
1,fi_ood-ud-test_Case=Com,2.8284271247461903,2.6457513110645907,2.6457513110645907
2,es_ancora-ud-train_Case=Com,5.830951894845301,9.219544457292887,9.219544457292887
3,es_ancora-ud-test_Case=Com,4.58257569495584,0.0,0.0
4,es_ancora-ud-dev_Case=Com,4.58257569495584,0.0,0.0
5,sms_giellagas-ud-test_Case=Com,4.58257569495584,0.0,0.0
6,et_ewt-ud-train_Case=Com,7.159988275043852,9.727331990547098,9.727331990547098
7,et_ewt-ud-test_Case=Com,5.233395623499729,7.497106880006976,7.497106880006976
8,et_ewt-ud-dev_Case=Com,8.671221519753034,11.28188777357483,11.28188777357483
9,ml_ufal-ud-test_Case=Com,8.631338250816034,11.022703842524301,11.022703842524301
10,apu_ufpa-ud-test_Case=Com,4.58257569495584,0.0,0.0
11,egy_ujaen-ud-test_Case=Com,4.58257569495584,0.0,0.0
12,mr_ufal-ud-train_Case=Com,4.58257569495584,0.0,0.0
13,olo_kkpp-ud-test_Case=Com,4.58257569495584,0.0,0.0
14,mdf_jr-ud-test_Case=Com,4.58257569495584,0.0,0.0
15,vep_vwt-ud-test_Case=Com,8.246211251235321,10.908712114635714,10.908712114635714
16,es_pud-ud-test_Case=Com,4.58257569495584,0.0,0.0
17,fi_tdt-ud-train_Case=Com,2.781131761990255,2.9067128499108295,2.9067128499108295
18,fi_tdt-ud-test_Case=Com,3.7416573867739413,1.0,1.0
19,fi_tdt-ud-dev_Case=Com,4.58257569495584,0.0,0.0
20,myv_jr-ud-test_Case=Com,4.58257569495584,0.0,0.0
21,myv_jr-ud-train_Case=Com,2.8284271247461903,3.3166247903554,3.3166247903554
22,kpv_ikdp-ud-test_Case=Com,4.58257569495584,0.0,0.0
23,kpv_lattice-ud-test_Case=Com,16.431676725154983,19.235384061671343,19.235384061671343
24,fi_pud-ud-test_Case=Com,3.4960294939005054,1.3743685418725535,1.3743685418725535
25,et_edt-ud-dev_Case=Com,3.5830455667572454,5.331827029066583,5.331827029066583
26,et_edt-ud-train_Case=Com,3.5284249721946015,5.189646676477866,5.189646676477866
27,et_edt-ud-test_Case=Com,3.3619457908360584,4.845626776316869,4.845626776316869
28,sjo_xdt-ud-test_Case=Com,4.58257569495584,0.0,0.0
29,wbp_ufal-ud-test_Case=Com,4.58257569495584,0.0,0.0
30,koi_uh-ud-test_Case=Com,5.830951894845301,7.810249675906654,7.810249675906654
31,sme_giella-ud-train_Case=Com,13.160072188251856,15.880412463157246,15.880412463157246
32,sme_giella-ud-test_Case=Com,5.487979029861498,7.707374917435497,7.707374917435497
33,arr_tudet-ud-test_Case=Com,4.58257569495584,0.0,0.0
34,ta_mwtt-ud-test_Case=Com,4.58257569495584,0.0,0.0
35,ta_ttb-ud-train_Case=Com,4.58257569495584,0.0,0.0
36,ta_ttb-ud-dev_Case=Com,4.58257569495584,0.0,0.0
37,ta_ttb-ud-test_Case=Com,3.1622776601683795,3.605551275463989,3.605551275463989
38,krl_kkpp-ud-test_Case=Com,3.1622776601683795,2.23606797749979,2.23606797749979
39,eu_bdt-ud-train_Case=Com,36.755762964617006,39.816070178314234,39.816070178314234
40,eu_bdt-ud-test_Case=Com,27.5368440054008,30.571410028180104,30.571410028180104
41,eu_bdt-ud-dev_Case=Com,36.18355980276125,39.29694644625712,39.29694644625712
42,fi_ftb-ud-dev_Case=Com,3.3747427885527643,1.5456030825826172,1.5456030825826172
43,fi_ftb-ud-train_Case=Com,3.2974186261379774,1.614826143444763,1.614826143444763
44,fi_ftb-ud-test_Case=Com,3.298484500494128,1.6370705543744901,1.6370705543744901
45,bxr_bdt-ud-test_Case=Com,2.9485954073139737,1.959507443590762,1.959507443590762
46,bej_nsc-ud-test_Case=Com,4.58257569495584,0.0,0.0
