,Treebank,hu_szeged-ud-dev_Case=Ess,hu_szeged-ud-test_Case=Ess,hu_szeged-ud-train_Case=Ess,fi_ood-ud-test_Case=Ess,sms_giellagas-ud-test_Case=Ess,et_ewt-ud-train_Case=Ess,et_ewt-ud-test_Case=Ess,et_ewt-ud-dev_Case=Ess,egy_ujaen-ud-test_Case=Ess,olo_kkpp-ud-test_Case=Ess,olo_kkpp-ud-train_Case=Ess,vep_vwt-ud-test_Case=Ess,fi_tdt-ud-train_Case=Ess,fi_tdt-ud-test_Case=Ess,fi_tdt-ud-dev_Case=Ess,fi_pud-ud-test_Case=Ess,et_edt-ud-dev_Case=Ess,et_edt-ud-train_Case=Ess,et_edt-ud-test_Case=Ess,sme_giella-ud-train_Case=Ess,sme_giella-ud-test_Case=Ess,ka_glc-ud-test_Case=Ess,krl_kkpp-ud-test_Case=Ess,eu_bdt-ud-train_Case=Ess,eu_bdt-ud-test_Case=Ess,eu_bdt-ud-dev_Case=Ess,fi_ftb-ud-dev_Case=Ess,fi_ftb-ud-train_Case=Ess,fi_ftb-ud-test_Case=Ess,ab_abnc-ud-test_Case=Ess
0,sl_ssj-ud-test_Case=Loc,0.6386543655789488,0.8085508833389412,1.0868563490448835,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093,2.618603778329093
1,sl_ssj-ud-dev_Case=Loc,0.6714170692305,0.8225623604834883,1.0902422439280173,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834,2.6192505338582834
2,sl_ssj-ud-train_Case=Loc,0.6420255566956353,0.7943850730841491,1.0682420299528665,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534,2.599685732683534
3,xcl_caval-ud-train_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,xcl_caval-ud-dev_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,xcl_caval-ud-test_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,hu_szeged-ud-train_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,fa_seraji-ud-dev_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,fa_seraji-ud-test_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,fa_seraji-ud-train_Case=Loc,2.49284690951645,1.9322525714823102,1.5829800566512728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
