,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Tem,1.2811127975318957
1,hu_szeged-ud-test_Case=Tem,1.16619037896906
2,hu_szeged-ud-train_Case=Tem,1.16619037896906
3,fa_seraji-ud-dev_Case=Tem,0.6
4,fa_seraji-ud-test_Case=Tem,0.6
5,fa_seraji-ud-train_Case=Tem,0.6
6,gub_tudet-ud-test_Case=Tem,1.16619037896906
7,lzh_tuecl-ud-test_Case=Tem,0.6
8,apu_ufpa-ud-test_Case=Tem,0.6
9,egy_ujaen-ud-test_Case=Tem,0.6
10,nyq_aha-ud-test_Case=Tem,0.6
11,mdf_jr-ud-test_Case=Tem,0.6
12,mdf_jr-ud-train_Case=Tem,0.6
13,myv_jr-ud-test_Case=Tem,2.5438378704451887
14,myv_jr-ud-train_Case=Tem,4.342810150121693
15,kfm_aha-ud-test_Case=Tem,0.6
16,soj_aha-ud-test_Case=Tem,0.6
17,he_htb-ud-train_Case=Tem,8.230127581028134
18,lzh_kyoto-ud-dev_Case=Tem,0.6
19,lzh_kyoto-ud-train_Case=Tem,0.6
20,lzh_kyoto-ud-test_Case=Tem,0.6
21,gu_gujtb-ud-test_Case=Tem,5.035871324805669
