,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,ess_sli-ud-test_Case=Equ,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
1,gub_tudet-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
2,egy_ujaen-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
3,ky_ktmu-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
4,tt_nmctt-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
5,tr_gb-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
6,ota_boun-ud-train_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
7,ota_boun-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
8,qtd_sagt-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
9,qtd_sagt-ud-dev_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
10,qtd_sagt-ud-train_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
11,tr_imst-ud-train_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
12,tr_imst-ud-dev_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
13,tr_imst-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
14,tr_boun-ud-dev_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
15,tr_boun-ud-test_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
16,tr_boun-ud-train_Case=Equ,4.58257569495584,10.36822067666386,0.0,0.0,0.0
