,Treebank,kmr_mg-ud-train_Case=Con,kmr_mg-ud-test_Case=Con
0,hu_szeged-ud-dev_Case=All,10.797718978425927,8.74182075484287
1,hu_szeged-ud-test_Case=All,10.85338280755576,8.791812058857461
2,hu_szeged-ud-train_Case=All,10.849120182814417,8.791963587198762
3,fi_ood-ud-test_Case=All,10.582425361470213,8.508868832961046
4,ess_sli-ud-test_Case=All,33.9319171282732,35.08967603390367
5,hit_hittb-ud-test_Case=All,11.062323444918793,9.000443983578798
6,et_ewt-ud-train_Case=All,10.682525726437362,8.616898775827899
7,et_ewt-ud-test_Case=All,10.636978214222193,8.576095171677819
8,et_ewt-ud-dev_Case=All,10.688903173431521,8.623616235492745
9,ml_ufal-ud-test_Case=All,8.023403267940607,5.751607132121395
10,egy_ujaen-ud-test_Case=All,11.973930014828047,9.907268912419791
11,olo_kkpp-ud-test_Case=All,10.81985281212425,8.760441702791256
12,olo_kkpp-ud-train_Case=All,10.57709790065309,8.5404126853359
13,vep_vwt-ud-test_Case=All,10.8828866677101,8.822479859054445
14,fi_tdt-ud-train_Case=All,10.353763230147807,8.277083061901944
15,fi_tdt-ud-test_Case=All,10.341933640293849,8.268468381070031
16,fi_tdt-ud-dev_Case=All,10.679706580997529,8.609874604780524
17,tpn_tudet-ud-test_Case=All,10.294955614819866,8.25350347171812
18,fi_pud-ud-test_Case=All,10.451849762638098,8.37518764211702
19,et_edt-ud-dev_Case=All,10.640267498680682,8.5722025034302
20,et_edt-ud-train_Case=All,10.58893972925427,8.516046800072072
21,et_edt-ud-test_Case=All,10.51773369681902,8.439253218262861
22,wbp_ufal-ud-test_Case=All,11.062323444918793,9.000443983578798
23,arr_tudet-ud-test_Case=All,10.62426468043789,8.569422337638043
24,gn_oldtudet-ud-test_Case=All,10.62426468043789,8.569422337638043
25,eu_bdt-ud-train_Case=All,10.594849062694447,8.534743253814169
26,eu_bdt-ud-test_Case=All,10.58205833841819,8.525838650830513
27,eu_bdt-ud-dev_Case=All,10.477908843652823,8.416144081623013
28,fi_ftb-ud-dev_Case=All,11.973930014828047,9.907268912419791
29,fi_ftb-ud-train_Case=All,11.973930014828047,9.907268912419791
30,fi_ftb-ud-test_Case=All,11.973930014828047,9.907268912419791
31,eme_tudet-ud-test_Case=All,10.778097584604279,8.727546390913545
32,aqz_tudet-ud-test_Case=All,9.526684420583203,7.503918570993648
33,gu_gujtb-ud-test_Case=All,11.062323444918793,9.000443983578798
