,Treebank,hu_szeged-ud-dev_Case=Sup,hu_szeged-ud-test_Case=Sup,hu_szeged-ud-train_Case=Sup,egy_ujaen-ud-test_Case=Sup
0,hu_szeged-ud-dev_Case=Tem,0.13703605542809738,0.09521742500557011,0.11692145425433172,1.1319231422671772
1,hu_szeged-ud-test_Case=Tem,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
2,hu_szeged-ud-train_Case=Tem,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
3,fa_seraji-ud-dev_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
4,fa_seraji-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
5,fa_seraji-ud-train_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
6,gub_tudet-ud-test_Case=Tem,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
7,lzh_tuecl-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
8,apu_ufpa-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
9,egy_ujaen-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
10,nyq_aha-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
11,mdf_jr-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
12,mdf_jr-ud-train_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
13,myv_jr-ud-test_Case=Tem,1.501277199025343,1.4139407325138238,1.3924836874797661,2.472066162365221
14,myv_jr-ud-train_Case=Tem,3.4849874570993027,3.4253503019921956,3.4049605957857443,4.301162633521313
15,kfm_aha-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
16,soj_aha-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
17,he_htb-ud-train_Case=Tem,7.307817427053987,7.224118340840572,7.199663424076657,8.299096336348915
18,lzh_kyoto-ud-dev_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
19,lzh_kyoto-ud-train_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
20,lzh_kyoto-ud-test_Case=Tem,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
21,gu_gujtb-ud-test_Case=Tem,4.1919773148269215,4.131985293915722,4.111383375221033,5.0
