,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,hi_pud-ud-test_Case=Erg,0.2939723678960656,0.10649955403405117,0.28019779169211134
1,ess_sli-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
2,mr_ufal-ud-dev_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
3,mr_ufal-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
4,mr_ufal-ud-train_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
5,wbp_ufal-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
6,ka_glc-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
7,eu_bdt-ud-train_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
8,eu_bdt-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
9,eu_bdt-ud-dev_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
10,gu_gujtb-ud-test_Case=Erg,1.259531560972737,1.08869426309121,1.2452843148017878
