,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,hu_szeged-ud-dev_Case=Ade,1.5129648046137756,1.3375584099395434,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,1.4534187405916297,1.3144621146642357,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,1.4474114826130127,1.2629330940315089,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,1.9181836092659945,1.7886065521032837,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,2.0241643980316377,1.897422799077966,1.897422799077966
5,et_ewt-ud-test_Case=Ade,2.003984781526888,1.8771070193697335,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,2.278780267198406,2.166296264635297,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,2.0844364577171426,2.0006924009208644,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,1.8036999011291577,1.6593171286204857,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,2.243258044784127,2.1333499449356674,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,2.2637881370941177,2.160771997383269,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,2.277431421042359,2.171466165088107,2.171466165088107
12,fi_pud-ud-test_Case=Ade,2.497269616151621,2.3950690043825595,2.3950690043825595
13,et_edt-ud-dev_Case=Ade,1.9106532137269179,1.7767514466365293,1.7767514466365293
14,et_edt-ud-train_Case=Ade,1.935453692302766,1.8041476170465596,1.8041476170465596
15,et_edt-ud-test_Case=Ade,1.812560613210631,1.6708159613082763,1.6708159613082763
16,krl_kkpp-ud-test_Case=Ade,1.7632035386619436,1.6152048534938224,1.6152048534938224
17,fi_ftb-ud-dev_Case=Ade,0.7071067811865476,0.0,0.0
18,fi_ftb-ud-train_Case=Ade,0.7071067811865476,0.0,0.0
19,fi_ftb-ud-test_Case=Ade,0.7071067811865476,0.0,0.0
