,Treebank,gub_tudet-ud-test_Case=Ref,tpn_tudet-ud-test_Case=Ref,gn_oldtudet-ud-test_Case=Ref,eme_tudet-ud-test_Case=Ref
0,fi_ood-ud-test_Case=Par,9.663598512001265,10.881208844195129,10.881208844195129,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,5.304924337087403,6.334035048845246,6.334035048845246,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,1.3743685418725535,0.0,0.0,0.0
3,et_ewt-ud-train_Case=Par,48.00853036137359,49.174596926907114,49.174596926907114,49.174596926907114
4,et_ewt-ud-test_Case=Par,42.933419934187704,44.08588319352249,44.08588319352249,44.08588319352249
5,et_ewt-ud-dev_Case=Par,30.5034242157973,31.663385794952504,31.663385794952504,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,138.54802616982877,139.7390425042336,139.7390425042336,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,1.3743685418725535,0.0,0.0,0.0
8,vep_vwt-ud-test_Case=Par,1.3743685418725535,0.0,0.0,0.0
9,fi_tdt-ud-train_Case=Par,17.502447613861495,18.711198078741774,18.711198078741774,18.711198078741774
10,fi_tdt-ud-test_Case=Par,17.462577765674293,18.668674296799974,18.668674296799974,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,15.889415888945331,17.107076434426677,17.107076434426677,17.107076434426677
12,ru_taiga-ud-train_Case=Par,45.463049709504624,46.65833258915282,46.65833258915282,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,1.3743685418725535,0.0,0.0,0.0
14,ru_taiga-ud-test_Case=Par,1.3743685418725535,0.0,0.0,0.0
15,fi_pud-ud-test_Case=Par,20.62551156101965,21.823579013918195,21.823579013918195,21.823579013918195
16,et_edt-ud-dev_Case=Par,90.41177533689621,91.58649739557852,91.58649739557852,91.58649739557852
17,et_edt-ud-train_Case=Par,79.10370249758374,80.27025559877289,80.27025559877289,80.27025559877289
18,et_edt-ud-test_Case=Par,80.63091508473214,81.79242650183359,81.79242650183359,81.79242650183359
19,ru_syntagrus-ud-train_Case=Par,83.1107026133752,84.27039812413372,84.27039812413372,84.27039812413372
20,ru_syntagrus-ud-dev_Case=Par,1.3743685418725535,0.0,0.0,0.0
21,ru_syntagrus-ud-test_Case=Par,1.3743685418725535,0.0,0.0,0.0
22,ru_poetry-ud-dev_Case=Par,1.3743685418725535,0.0,0.0,0.0
23,ru_poetry-ud-train_Case=Par,11.20515754264774,12.36931687685298,12.36931687685298,12.36931687685298
24,krl_kkpp-ud-test_Case=Par,34.046446126242905,35.21696420620656,35.21696420620656,35.21696420620656
25,eu_bdt-ud-train_Case=Par,27.890379414573925,29.085810543974876,29.085810543974876,29.085810543974876
26,eu_bdt-ud-test_Case=Par,16.50602583570282,17.713271860387625,17.713271860387625,17.713271860387625
27,eu_bdt-ud-dev_Case=Par,10.077869075449762,11.285692885477854,11.285692885477854,11.285692885477854
28,fi_ftb-ud-dev_Case=Par,8.203025250380948,9.401034930993175,9.401034930993175,9.401034930993175
29,fi_ftb-ud-train_Case=Par,10.109959549777603,11.310617670681031,11.310617670681031,11.310617670681031
30,fi_ftb-ud-test_Case=Par,10.38528570659193,11.574769776600762,11.574769776600762,11.574769776600762
31,ru_gsd-ud-dev_Case=Par,1.3743685418725535,0.0,0.0,0.0
32,ru_gsd-ud-train_Case=Par,1.3743685418725535,0.0,0.0,0.0
