,Treebank,am_att-ud-test_Case=Mal
0,hu_szeged-ud-dev_Case=Ade,1.4659681101579256
1,hu_szeged-ud-test_Case=Ade,1.4449258288533617
2,hu_szeged-ud-train_Case=Ade,1.3982131454109563
3,fi_ood-ud-test_Case=Ade,1.886561262781253
4,et_ewt-ud-train_Case=Ade,1.9900284617213049
5,et_ewt-ud-test_Case=Ade,1.9706675930169262
6,et_ewt-ud-dev_Case=Ade,2.2478521984714295
7,olo_kkpp-ud-test_Case=Ade,2.088724511059918
8,vep_vwt-ud-test_Case=Ade,1.7644640357154728
9,fi_tdt-ud-train_Case=Ade,2.216118676325123
10,fi_tdt-ud-test_Case=Ade,2.242528845896008
11,fi_tdt-ud-dev_Case=Ade,2.252834948708504
12,fi_pud-ud-test_Case=Ade,2.469079896591859
13,et_edt-ud-dev_Case=Ade,1.875325492581221
14,et_edt-ud-train_Case=Ade,1.901301823513242
15,et_edt-ud-test_Case=Ade,1.7752819428368272
16,krl_kkpp-ud-test_Case=Ade,1.7230457680369375
17,fi_ftb-ud-dev_Case=Ade,0.6
18,fi_ftb-ud-train_Case=Ade,0.6
19,fi_ftb-ud-test_Case=Ade,0.6
