,Treebank,hu_szeged-ud-dev_Case=Dis,hu_szeged-ud-test_Case=Dis,hu_szeged-ud-train_Case=Dis
0,fi_ood-ud-test_Case=Abe,6.662498697102229,6.6248689714505975,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,1.224744871391589,1.0,1.0
2,sms_giellagas-ud-train_Case=Abe,0.7071067811865476,0.0,0.0
3,et_ewt-ud-train_Case=Abe,4.776525174618487,4.723895928549249,4.723895928549249
4,et_ewt-ud-test_Case=Abe,10.684880283216405,10.661457061146319,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,0.7071067811865476,0.0,0.0
6,gub_tudet-ud-test_Case=Abe,2.345207879911715,2.23606797749979,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,0.7071067811865476,0.0,0.0
8,olo_kkpp-ud-train_Case=Abe,0.7071067811865476,0.0,0.0
9,mdf_jr-ud-test_Case=Abe,1.7320508075688772,1.5811388300841898,1.5811388300841898
10,fi_tdt-ud-train_Case=Abe,12.042171269704184,12.021392967908872,12.021392967908872
11,fi_tdt-ud-test_Case=Abe,9.027735042633894,9.0,9.0
12,fi_tdt-ud-dev_Case=Abe,3.391164991562634,3.3166247903554,3.3166247903554
13,myv_jr-ud-test_Case=Abe,1.783255450012701,1.6370705543744901,1.6370705543744901
14,myv_jr-ud-train_Case=Abe,1.781423416191418,1.6350747346085137,1.6350747346085137
15,kpv_ikdp-ud-test_Case=Abe,1.224744871391589,1.0,1.0
16,kpv_lattice-ud-test_Case=Abe,2.7182510717166815,2.6246692913372702,2.6246692913372702
17,fi_pud-ud-test_Case=Abe,2.345207879911715,2.23606797749979,2.23606797749979
18,et_edt-ud-dev_Case=Abe,3.857012212824396,3.7916412290559007,3.7916412290559007
19,et_edt-ud-train_Case=Abe,4.8386529100020255,4.787656304765619,4.787656304765619
20,et_edt-ud-test_Case=Abe,4.344536799245692,4.286607049870562,4.286607049870562
21,koi_uh-ud-test_Case=Abe,2.23606797749979,2.1213203435596424,2.1213203435596424
22,sme_giella-ud-train_Case=Abe,0.7071067811865476,0.0,0.0
23,sme_giella-ud-test_Case=Abe,0.7071067811865476,0.0,0.0
24,arr_tudet-ud-test_Case=Abe,1.224744871391589,1.0,1.0
25,krl_kkpp-ud-test_Case=Abe,2.345207879911715,2.23606797749979,2.23606797749979
26,fi_ftb-ud-dev_Case=Abe,0.7071067811865476,0.0,0.0
27,fi_ftb-ud-train_Case=Abe,0.7071067811865476,0.0,0.0
28,fi_ftb-ud-test_Case=Abe,0.7071067811865476,0.0,0.0
29,ab_abnc-ud-test_Case=Abe,1.224744871391589,1.0,1.0
