,Treebank,hu_szeged-ud-dev_Case=Sup,hu_szeged-ud-test_Case=Sup,hu_szeged-ud-train_Case=Sup,egy_ujaen-ud-test_Case=Sup
0,sl_ssj-ud-test_Case=Dat,2.2177289270399823,2.1350785245586996,2.106944949918645,3.237354116223063
1,sl_ssj-ud-dev_Case=Dat,2.684496307760734,2.601022175611867,2.572388971642258,3.702382866329317
2,sl_ssj-ud-train_Case=Dat,2.092163513919668,2.0082585241839364,1.979447196925256,3.1179361720571244
3,xcl_caval-ud-train_Case=Dat,0.19145311543419993,0.118367287773332,0.1030696323463964,1.239102502759832
4,xcl_caval-ud-dev_Case=Dat,0.12278813915094594,0.09039030116063342,0.09817487805168916,1.1651494545412489
5,xcl_caval-ud-test_Case=Dat,0.1836798733548871,0.10269948250244205,0.08697713315429227,1.2227021265001647
6,hu_szeged-ud-dev_Case=Dat,2.3179692425321163,2.25341332873788,2.2315639034879435,3.1993621813334823
7,hu_szeged-ud-test_Case=Dat,5.2988815387723545,5.228443789943682,5.205372694300165,6.174337938564088
8,hu_szeged-ud-train_Case=Dat,2.153855326365127,2.087868269083349,2.0657927628592505,3.045362818101901
9,xav_xdt-ud-test_Case=Dat,0.2982920646775764,0.2465815669019127,0.23665084495172384,1.3133925536563698
10,tr_pud-ud-test_Case=Dat,5.353116030478707,5.272157871832386,5.244855895817352,6.339143832598542
11,es_gsd-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
12,es_gsd-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
13,es_gsd-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
14,de_hdt-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
15,de_hdt-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
16,de_hdt-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
17,sga_dipsgg-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
18,pt_porttinari-ud-train_Case=Dat,1.1760655381824687,1.1055387127196883,1.0819804039954801,2.1565242585859323
19,pt_porttinari-ud-test_Case=Dat,1.1181609823849645,1.0487833236972772,1.0258469492685438,2.0946968998021687
20,pt_porttinari-ud-dev_Case=Dat,0.941638715144653,0.87488976377909,0.8532494720494511,1.914854215512676
21,pl_pdb-ud-test_Case=Dat,0.49513915309574974,0.4125125129200284,0.38852980165961626,1.541535826120694
22,pl_pdb-ud-train_Case=Dat,0.5774003679391093,0.4959428737500064,0.47109235476248335,1.6189288728823157
23,pl_pdb-ud-dev_Case=Dat,0.5732618856155577,0.4920527310116038,0.4672571194653253,1.6141540233157499
24,sah_yktdt-ud-test_Case=Dat,29.240944217578882,29.174886407895066,29.151802042530235,30.062435031114827
25,uk_iu-ud-dev_Case=Dat,7.515518077436494,7.433891774405937,7.407300293596203,8.489732360655166
26,uk_iu-ud-train_Case=Dat,3.201820852683914,3.1237220908884664,3.0976230570160155,4.162123839315832
27,uk_iu-ud-test_Case=Dat,4.855449382293985,4.770910482064687,4.742032732861635,5.847542709481503
28,sa_vedic-ud-test_Case=Dat,2.306843201066323,2.2180646511056406,2.1885437159767087,3.344574254420582
29,sa_vedic-ud-train_Case=Dat,2.2389507399557993,2.1521387206454756,2.123070448298687,3.268627846799917
30,sa_vedic-ud-dev_Case=Dat,1.6923880488747929,1.6082328265487602,1.5791361869590408,2.7268048798195497
31,es_ancora-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
32,es_ancora-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
33,es_ancora-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
34,hr_set-ud-dev_Case=Dat,4.562380432873775,4.479695939889787,4.451044499768387,5.553167082786309
35,hr_set-ud-train_Case=Dat,3.760440948175233,3.6778062624661314,3.649355700601207,4.7576712783229205
36,hr_set-ud-test_Case=Dat,4.793271897869979,4.7113567399444936,4.683317990995224,5.783442463408472
37,orv_rnc-ud-dev_Case=Dat,3.0607413292444248,2.97078856528987,2.9430438636043417,4.083079518090304
38,orv_rnc-ud-train_Case=Dat,3.5227360958104197,3.431930293248295,3.4036735512442666,4.539215744936601
39,orv_rnc-ud-test_Case=Dat,3.089253523845781,2.997642489328432,2.970847407167419,4.107366462742187
40,la_circse-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
41,is_pud-ud-test_Case=Dat,82.52484654330736,82.44141739725934,82.41214303372949,83.5211589957898
42,grc_perseus-ud-dev_Case=Dat,11.763275437133528,11.680658272160061,11.64764490857563,12.744876506370305
43,grc_perseus-ud-train_Case=Dat,9.297878136270652,9.21846068040252,9.18978321868018,10.262650648850979
44,grc_perseus-ud-test_Case=Dat,15.015209583819294,14.933779148875239,14.900907997421184,15.986689060580419
45,tr_atis-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
46,tr_atis-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
47,tr_atis-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
48,pt_pud-ud-test_Case=Dat,0.3596023572597955,0.31569449370156827,0.2889831572074253,1.3170777796132698
49,hi_pud-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
50,la_perseus-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
51,la_perseus-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
52,tr_kenet-ud-dev_Case=Dat,8.890758998891743,8.818818733077824,8.794153561338263,9.780679893265074
53,tr_kenet-ud-test_Case=Dat,1111.3003384499734,1111.2243702692301,1111.197874925272,1112.2288433591352
54,tr_kenet-ud-train_Case=Dat,23.67541351549639,23.602110842446226,23.576892823731754,24.566461491594044
55,sk_snk-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
56,sk_snk-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
57,sk_snk-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
58,lt_hse-ud-train_Case=Dat,5.018047761531274,4.928432641567615,4.899228728541066,6.020148461624514
59,lt_hse-ud-test_Case=Dat,3.070856839829698,2.9917582261858358,2.9642434304547196,4.06201920231798
60,lt_hse-ud-dev_Case=Dat,2.440005366587521,2.349833008438791,2.31974266925583,3.4434202266268423
61,hit_hittb-ud-test_Case=Dat,4.047085411057563,3.9729991470200723,3.945290434539605,4.988257817052234
62,sa_ufal-ud-test_Case=Dat,2.5580633887331934,2.461117381481854,2.433221583649527,3.5433819375782165
63,be_hse-ud-train_Case=Dat,0.6620440847579425,0.5750356249261637,0.5490134293712045,1.7050530777470636
64,be_hse-ud-dev_Case=Dat,0.5295668212496436,0.44492161884266784,0.421418979668052,1.5667442356683494
65,be_hse-ud-test_Case=Dat,1.694015670967728,1.60261179470416,1.5737440359498434,2.7172545072324215
66,gub_tudet-ud-test_Case=Dat,29.10712709494132,29.042300992062945,29.02047938259163,29.905406423142512
67,cs_pud-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
68,orv_ruthenian-ud-test_Case=Dat,1.5882040198788954,1.4965773552517838,1.467054891905508,2.607568198644489
69,orv_ruthenian-ud-train_Case=Dat,2.6420533880290438,2.545776034801753,2.5155318898612493,3.6603091299490744
70,orv_ruthenian-ud-dev_Case=Dat,2.5977166567690735,2.5074849051706556,2.4778196644459634,3.6135327637321817
71,ml_ufal-ud-test_Case=Dat,8.4462426632888,8.370471854547702,8.343750481231055,9.394961741404218
72,apu_ufpa-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
73,egy_ujaen-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
74,de_pud-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
75,gl_treegal-ud-train_Case=Dat,0.9223797387009228,0.8597839234724782,0.8397777350934501,1.873927676905276
76,gl_treegal-ud-test_Case=Dat,1.6987192467189556,1.6382860111394946,1.6181530810397482,2.579530817562435
77,ro_nonstandard-ud-test_Case=Dat,1.6927441178303126,1.6141284299065448,1.5834942766162732,2.67852884899451
78,ro_nonstandard-ud-dev_Case=Dat,1.2714389228760767,1.1958617887261769,1.166878070808156,2.2558629061899005
79,ro_nonstandard-ud-train_Case=Dat,1.551151944246726,1.4732132629358505,1.442735492872475,2.540442797381302
80,ro_simonero-ud-test_Case=Dat,26.2508839030628,26.184515615620835,26.160603155672277,27.073972741361768
81,ro_simonero-ud-train_Case=Dat,10.296727700791909,10.222142209831787,10.195953173308265,11.229648258071132
82,ro_simonero-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
83,sq_tsa-ud-test_Case=Dat,4.406869625366746,4.32415338177727,4.296763632256863,5.385164807134504
84,pt_petrogold-ud-train_Case=Dat,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
85,pt_petrogold-ud-test_Case=Dat,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
86,pt_petrogold-ud-dev_Case=Dat,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
87,mr_ufal-ud-dev_Case=Dat,4.123131096619119,4.051367700778785,4.026560549306837,5.049752469181039
88,mr_ufal-ud-test_Case=Dat,11.855723556763643,11.782919475156602,11.757529742539793,12.767145334803704
89,mr_ufal-ud-train_Case=Dat,4.37418339364831,4.298387227425011,4.272582973354307,5.323024851790458
90,pt_gsd-ud-dev_Case=Dat,1.3647449873464612,1.3085073014793196,1.2901964429042432,2.23606797749979
91,pt_gsd-ud-test_Case=Dat,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
92,pt_gsd-ud-train_Case=Dat,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
93,si_stb-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
94,ro_tuecl-ud-test_Case=Dat,1.3115341486771888,1.232245731694734,1.2022151933529628,2.317640087796107
95,lt_alksnis-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
96,lt_alksnis-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
97,lt_alksnis-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
98,cu_proiel-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
99,cu_proiel-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
100,cu_proiel-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
101,hy_bsut-ud-train_Case=Dat,53.121843184791494,53.042053389292754,53.01555209258794,54.06071794278907
102,hy_bsut-ud-test_Case=Dat,62.40080203088641,62.31983964661853,62.29296767241212,63.34357110236208
103,hy_bsut-ud-dev_Case=Dat,36.65622521266917,36.57532439678544,36.54854082814358,37.59549181723294
104,mdf_jr-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
105,mdf_jr-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
106,la_llct-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
107,la_llct-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
108,la_llct-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
109,es_pud-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
110,hsb_ufal-ud-test_Case=Dat,10.181900793059928,10.100039726116716,10.0721262164154,11.158579160846998
111,hsb_ufal-ud-train_Case=Dat,4.629011370885974,4.5556402431152705,4.530221457768313,5.5677643628300215
112,sr_set-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
113,sr_set-ud-train_Case=Dat,1118.191750132826,1118.1123246457357,1118.0846823539591,1119.1349337769775
114,sr_set-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
115,myv_jr-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
116,myv_jr-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
117,tr_framenet-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
118,tr_framenet-ud-train_Case=Dat,903.5391966706175,903.4638687802397,903.4375134563661,904.4639296290372
119,tr_framenet-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
120,ky_ktmu-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
121,ky_ktmu-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
122,la_proiel-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
123,la_proiel-ud-dev_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
124,la_proiel-ud-train_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
125,kpv_ikdp-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
126,kpv_lattice-ud-test_Case=Dat,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
