,Treebank,et_ewt-ud-train_Case=Add,et_ewt-ud-test_Case=Add,et_ewt-ud-dev_Case=Add,et_edt-ud-dev_Case=Add,et_edt-ud-train_Case=Add,et_edt-ud-test_Case=Add
0,hu_szeged-ud-dev_Case=Tem,0.12320799975220147,0.11152506498584784,0.12127155529412818,0.1681866067612923,0.1744957032605902,0.20602901424670317
1,hu_szeged-ud-test_Case=Tem,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
2,hu_szeged-ud-train_Case=Tem,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
3,fa_seraji-ud-dev_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
4,fa_seraji-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
5,fa_seraji-ud-train_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
6,gub_tudet-ud-test_Case=Tem,0.11108241135314532,0.10958904109589036,0.12957670877434005,0.2233693746936237,0.24901480953538424,0.29244192421024817
7,lzh_tuecl-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
8,apu_ufpa-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
9,egy_ujaen-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
10,nyq_aha-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
11,mdf_jr-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
12,mdf_jr-ud-train_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
13,myv_jr-ud-test_Case=Tem,1.475290044788971,1.4773224426756115,1.466329927673211,1.4003588785244059,1.3745276057582256,1.339713248551757
14,myv_jr-ud-train_Case=Tem,3.464242437496024,3.468797731654845,3.458501780815102,3.4027144026677365,3.383394551901874,3.355770843593387
15,kfm_aha-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
16,soj_aha-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
17,he_htb-ud-train_Case=Tem,7.278355618835428,7.283638741698558,7.269617987144328,7.187034527962312,7.160726459052137,7.1193290837943515
18,lzh_kyoto-ud-dev_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
19,lzh_kyoto-ud-train_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
20,lzh_kyoto-ud-test_Case=Tem,1.1031249959354035,1.0971739059265513,1.1131093143438395,1.1993603737502958,1.2279528687939976,1.2709256503688648
21,gu_gujtb-ud-test_Case=Tem,4.17117524667517,4.175723565105201,4.165347939463175,4.109036333720685,4.089551168225378,4.061567811799602
