,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,fi_ood-ud-test_Case=Abe,4.109609335312651,6.114645442614713,6.6248689714505975,6.6248689714505975,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
2,sms_giellagas-ud-train_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
3,et_ewt-ud-train_Case=Abe,2.940837648884669,6.807275686173853,4.723895928549249,4.723895928549249,4.723895928549249
4,et_ewt-ud-test_Case=Abe,7.745966692414835,6.363961030678928,10.661457061146319,10.661457061146319,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
6,gub_tudet-ud-test_Case=Abe,3.1622776601683795,8.631338250816034,2.23606797749979,2.23606797749979,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
8,olo_kkpp-ud-train_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
9,mdf_jr-ud-test_Case=Abe,3.391164991562634,8.972179222463181,1.5811388300841898,1.5811388300841898,1.5811388300841898
10,fi_tdt-ud-train_Case=Abe,8.917056066263623,6.911142372205111,12.021392967908872,12.021392967908872,12.021392967908872
11,fi_tdt-ud-test_Case=Abe,6.164414002968976,6.041522986797286,9.0,9.0,9.0
12,fi_tdt-ud-dev_Case=Abe,2.8284271247461903,7.842193570679061,3.3166247903554,3.3166247903554,3.3166247903554
13,myv_jr-ud-test_Case=Abe,3.298484500494128,8.931965069345043,1.6370705543744901,1.6370705543744901,1.6370705543744901
14,myv_jr-ud-train_Case=Abe,3.331972511340172,8.913988090269664,1.6350747346085137,1.6350747346085137,1.6350747346085137
15,kpv_ikdp-ud-test_Case=Abe,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
16,kpv_lattice-ud-test_Case=Abe,2.8087165910587863,8.096638534327411,2.6246692913372702,2.6246692913372702,2.6246692913372702
17,fi_pud-ud-test_Case=Abe,3.1622776601683795,8.631338250816034,2.23606797749979,2.23606797749979,2.23606797749979
18,et_edt-ud-dev_Case=Abe,2.6328879135717305,7.302122133621225,3.7916412290559007,3.7916412290559007,3.7916412290559007
19,et_edt-ud-train_Case=Abe,2.87841783905644,6.686745245892883,4.787656304765619,4.787656304765619,4.787656304765619
20,et_edt-ud-test_Case=Abe,2.8939592256975564,7.132671308843553,4.286607049870562,4.286607049870562,4.286607049870562
21,koi_uh-ud-test_Case=Abe,3.082207001484488,8.602325267042627,2.1213203435596424,2.1213203435596424,2.1213203435596424
22,sme_giella-ud-train_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
23,sme_giella-ud-test_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
24,arr_tudet-ud-test_Case=Abe,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
25,krl_kkpp-ud-test_Case=Abe,3.1622776601683795,8.631338250816034,2.23606797749979,2.23606797749979,2.23606797749979
26,fi_ftb-ud-dev_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
27,fi_ftb-ud-train_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
28,fi_ftb-ud-test_Case=Abe,4.58257569495584,10.36822067666386,0.0,0.0,0.0
29,ab_abnc-ud-test_Case=Abe,3.7416573867739413,9.460443964212251,1.0,1.0,1.0
