,Treebank,hu_szeged-ud-dev_Case=Tem,hu_szeged-ud-test_Case=Tem,hu_szeged-ud-train_Case=Tem,fa_seraji-ud-dev_Case=Tem,fa_seraji-ud-test_Case=Tem,fa_seraji-ud-train_Case=Tem,gub_tudet-ud-test_Case=Tem,lzh_tuecl-ud-test_Case=Tem,apu_ufpa-ud-test_Case=Tem,egy_ujaen-ud-test_Case=Tem,nyq_aha-ud-test_Case=Tem,mdf_jr-ud-test_Case=Tem,mdf_jr-ud-train_Case=Tem,myv_jr-ud-test_Case=Tem,myv_jr-ud-train_Case=Tem,kfm_aha-ud-test_Case=Tem,soj_aha-ud-test_Case=Tem,he_htb-ud-train_Case=Tem,lzh_kyoto-ud-dev_Case=Tem,lzh_kyoto-ud-train_Case=Tem,lzh_kyoto-ud-test_Case=Tem,gu_gujtb-ud-test_Case=Tem
0,hu_szeged-ud-dev_Case=Tra,0.46770717334674267,0.5863019699779287,0.5863019699779287,1.5309310892394863,1.5309310892394863,1.5309310892394863,0.5863019699779287,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.5309310892394863,1.1711224435462664,3.2161700825671518,1.5309310892394863,1.5309310892394863,6.925947588597534,1.5309310892394863,1.5309310892394863,1.5309310892394863,3.9171099039980994
1,hu_szeged-ud-test_Case=Tra,0.1767766952966369,0.2041241452319316,0.2041241452319316,1.1726039399558574,1.1726039399558574,1.1726039399558574,0.2041241452319316,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.1726039399558574,1.4288690166235207,3.4217441946079683,1.1726039399558574,1.1726039399558574,7.222649560006817,1.1726039399558574,1.1726039399558574,1.1726039399558574,4.128155358833611
2,hu_szeged-ud-train_Case=Tra,0.15378556499229698,0.14966629547095772,0.14966629547095772,1.1235657524150513,1.1235657524150513,1.1235657524150513,0.14966629547095772,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.1235657524150513,1.465211399233723,3.452882853500825,1.1235657524150513,1.1235657524150513,7.264805572071423,1.1235657524150513,1.1235657524150513,1.1235657524150513,4.159615366833814
3,fi_ood-ud-test_Case=Tra,2.3940153410185374,2.5089613467008616,2.5089613467008616,3.451894652855358,3.451894652855358,3.451894652855358,2.5089613467008616,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,3.451894652855358,1.59136260228752,2.691312486744705,3.451894652855358,3.451894652855358,5.426393747988117,3.451894652855358,3.451894652855358,3.451894652855358,3.229987317888688
4,et_ewt-ud-train_Case=Tra,3.094353811412664,3.20894794890405,3.20894794890405,4.0984566532751705,4.0984566532751705,4.0984566532751705,3.20894794890405,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,4.0984566532751705,2.2863739127566687,3.0078808052806063,4.0984566532751705,4.0984566532751705,5.226394941222166,4.0984566532751705,4.0984566532751705,4.0984566532751705,3.434726617763852
5,et_ewt-ud-test_Case=Tra,3.090782048846115,3.2007652146297256,3.2007652146297256,4.100771455544949,4.100771455544949,4.100771455544949,3.2007652146297256,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,4.100771455544949,2.2780128190219027,2.969229955832361,4.100771455544949,4.100771455544949,5.162907344210039,4.100771455544949,4.100771455544949,4.100771455544949,3.395675521144204
6,et_ewt-ud-dev_Case=Tra,4.375892766053574,4.485218779502289,4.485218779502289,5.3378073681990434,5.3378073681990434,5.3378073681990434,4.485218779502289,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,5.3378073681990434,3.5383562960473296,3.7655925828480172,5.3378073681990434,5.3378073681990434,4.961571071747335,5.3378073681990434,5.3378073681990434,5.3378073681990434,3.9990233182615977
7,gub_tudet-ud-test_Case=Tra,1.1319231422671772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.472066162365221,4.301162633521313,0.0,0.0,8.299096336348915,0.0,0.0,0.0,5.0
8,olo_kkpp-ud-test_Case=Tra,0.9150805696656399,1.0101525445522108,1.0101525445522108,1.932535608352669,1.932535608352669,1.932535608352669,1.0101525445522108,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.932535608352669,1.0858813572372743,3.0388639123118066,1.932535608352669,1.932535608352669,6.619968247041426,1.932535608352669,1.932535608352669,1.932535608352669,3.7252585172586565
9,mdf_jr-ud-test_Case=Tra,2.952752952754429,3.0669610365963242,3.0669610365963242,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.0669610365963242,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.9567979478361033,2.1642614855367586,2.9633173977824243,3.9567979478361033,3.9567979478361033,5.300353761778547,3.9567979478361033,3.9567979478361033,3.9567979478361033,3.4141250709369158
10,vep_vwt-ud-test_Case=Tra,2.7443123000125187,2.8284271247461903,2.8284271247461903,3.605551275463989,3.605551275463989,3.605551275463989,2.8284271247461903,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,3.605551275463989,2.260776661041756,3.24037034920393,3.605551275463989,3.605551275463989,5.947688626685159,3.605551275463989,3.605551275463989,3.605551275463989,3.7416573867739413
11,fi_tdt-ud-train_Case=Tra,3.238291546517755,3.3571291193566175,3.3571291193566175,4.293306195252593,4.293306195252593,4.293306195252593,3.3571291193566175,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,4.293306195252593,2.31638970585208,2.8922155034897963,4.293306195252593,4.293306195252593,4.8464648280409035,4.293306195252593,4.293306195252593,4.293306195252593,3.2838741506862976
