,Treebank,ess_sli-ud-test_Case=Per,tpn_tudet-ud-test_Case=Per,wbp_ufal-ud-test_Case=Per
0,fi_ood-ud-test_Case=Abe,5.456901847914968,6.6248689714505975,6.6248689714505975
1,sms_giellagas-ud-test_Case=Abe,0.4714045207910316,1.0,1.0
2,sms_giellagas-ud-train_Case=Abe,1.3743685418725535,0.0,0.0
3,et_ewt-ud-train_Case=Abe,3.5564766380643507,4.723895928549249,4.723895928549249
4,et_ewt-ud-test_Case=Abe,9.521904571390467,10.661457061146319,10.661457061146319
5,et_ewt-ud-dev_Case=Abe,1.3743685418725535,0.0,0.0
6,gub_tudet-ud-test_Case=Abe,1.2472191289246473,2.23606797749979,2.23606797749979
7,olo_kkpp-ud-test_Case=Abe,1.3743685418725535,0.0,0.0
8,olo_kkpp-ud-train_Case=Abe,1.3743685418725535,0.0,0.0
9,mdf_jr-ud-test_Case=Abe,0.6236095644623235,1.5811388300841898,1.5811388300841898
10,fi_tdt-ud-train_Case=Abe,10.850627222013992,12.021392967908872,12.021392967908872
11,fi_tdt-ud-test_Case=Abe,7.84573486395988,9.0,9.0
12,fi_tdt-ud-dev_Case=Abe,2.211083193570267,3.3166247903554,3.3166247903554
13,myv_jr-ud-test_Case=Abe,0.5497474167490215,1.6370705543744901,1.6370705543744901
14,myv_jr-ud-train_Case=Abe,0.6098213559459855,1.6350747346085137,1.6350747346085137
15,kpv_ikdp-ud-test_Case=Abe,0.4714045207910316,1.0,1.0
16,kpv_lattice-ud-test_Case=Abe,1.452966314513558,2.6246692913372702,2.6246692913372702
17,fi_pud-ud-test_Case=Abe,1.247219128924647,2.23606797749979,2.23606797749979
18,et_edt-ud-dev_Case=Abe,2.604601815495787,3.7916412290559007,3.7916412290559007
19,et_edt-ud-train_Case=Abe,3.5960747910274327,4.787656304765619,4.787656304765619
20,et_edt-ud-test_Case=Abe,3.1512784001981733,4.286607049870562,4.286607049870562
21,koi_uh-ud-test_Case=Abe,1.0274023338281628,2.1213203435596424,2.1213203435596424
22,sme_giella-ud-train_Case=Abe,1.3743685418725535,0.0,0.0
23,sme_giella-ud-test_Case=Abe,1.3743685418725535,0.0,0.0
24,arr_tudet-ud-test_Case=Abe,0.4714045207910316,1.0,1.0
25,krl_kkpp-ud-test_Case=Abe,1.247219128924647,2.23606797749979,2.23606797749979
26,fi_ftb-ud-dev_Case=Abe,1.3743685418725535,0.0,0.0
27,fi_ftb-ud-train_Case=Abe,1.3743685418725535,0.0,0.0
28,fi_ftb-ud-test_Case=Abe,1.3743685418725535,0.0,0.0
29,ab_abnc-ud-test_Case=Abe,0.4714045207910316,1.0,1.0
