,Treebank,kpv_ikdp-ud-test_Case=Egr,kpv_lattice-ud-test_Case=Egr,kpv_lattice-ud-train_Case=Egr,koi_uh-ud-train_Case=Egr,koi_uh-ud-test_Case=Egr
0,hu_szeged-ud-dev_Case=Ade,3.5055759155950397,9.184310670921363,1.3375584099395434,1.3375584099395434,1.3375584099395434
1,hu_szeged-ud-test_Case=Ade,3.502323827025296,9.185948878843911,1.3144621146642357,1.3144621146642357,1.3144621146642357
2,hu_szeged-ud-train_Case=Ade,3.5489435047630726,9.238235762308731,1.2629330940315089,1.2629330940315089,1.2629330940315089
3,fi_ood-ud-test_Case=Ade,3.1713374331285262,8.775093333094869,1.7886065521032837,1.7886065521032837,1.7886065521032837
4,et_ewt-ud-train_Case=Ade,3.1077584781320167,8.68770061385773,1.897422799077966,1.897422799077966,1.897422799077966
5,et_ewt-ud-test_Case=Ade,3.1202006304544483,8.705234432210478,1.8771070193697335,1.8771070193697335,1.8771070193697335
6,et_ewt-ud-dev_Case=Ade,2.967145196528803,8.478309288712092,2.166296264635297,2.166296264635297,2.166296264635297
7,olo_kkpp-ud-test_Case=Ade,3.0698245413510916,8.631498715930073,2.0006924009208644,2.0006924009208644,2.0006924009208644
8,vep_vwt-ud-test_Case=Ade,3.2690467519854574,8.893068461822763,1.6593171286204857,1.6593171286204857,1.6593171286204857
9,fi_tdt-ud-train_Case=Ade,2.9608897753997563,8.481550417469569,2.1333499449356674,2.1333499449356674,2.1333499449356674
10,fi_tdt-ud-test_Case=Ade,2.9489930373040805,8.46265026081253,2.160771997383269,2.160771997383269,2.160771997383269
11,fi_tdt-ud-dev_Case=Ade,2.93566388555972,8.443313983289272,2.171466165088107,2.171466165088107,2.171466165088107
12,fi_pud-ud-test_Case=Ade,2.8160939946138757,8.261884990451971,2.3950690043825595,2.3950690043825595,2.3950690043825595
13,et_edt-ud-dev_Case=Ade,3.181091904224868,8.780427563799215,1.7767514466365293,1.7767514466365293,1.7767514466365293
14,et_edt-ud-train_Case=Ade,3.1641316386244855,8.757157116757519,1.8041476170465596,1.8041476170465596,1.8041476170465596
15,et_edt-ud-test_Case=Ade,3.2525568367920186,8.873031526854986,1.6708159613082763,1.6708159613082763,1.6708159613082763
16,krl_kkpp-ud-test_Case=Ade,3.295282494529111,8.931133003082532,1.6152048534938224,1.6152048534938224,1.6152048534938224
17,fi_ftb-ud-dev_Case=Ade,4.58257569495584,10.36822067666386,0.0,0.0,0.0
18,fi_ftb-ud-train_Case=Ade,4.58257569495584,10.36822067666386,0.0,0.0,0.0
19,fi_ftb-ud-test_Case=Ade,4.58257569495584,10.36822067666386,0.0,0.0,0.0
