,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,hu_szeged-ud-dev_Case=Ela,5.649990142010961,1.0827689526491961
1,hu_szeged-ud-test_Case=Ela,5.6473038537275935,1.146066921150376
2,hu_szeged-ud-train_Case=Ela,5.670750162668728,1.2450962012087863
3,fi_ood-ud-test_Case=Ela,5.844187903623526,2.068522117325686
4,et_ewt-ud-train_Case=Ela,5.768689187640452,1.731320857985841
5,et_ewt-ud-test_Case=Ela,5.740628510503051,1.7364217584408124
6,et_ewt-ud-dev_Case=Ela,5.7597258729941645,1.7642602345031582
7,egy_ujaen-ud-test_Case=Ela,5.545268253204709,0.0
8,olo_kkpp-ud-test_Case=Ela,5.678009855430629,1.4021363680319483
9,olo_kkpp-ud-train_Case=Ela,5.634713834792322,1.0
10,mdf_jr-ud-test_Case=Ela,19.529891619429602,20.728402414722332
11,mdf_jr-ud-train_Case=Ela,5.545268253204709,0.0
12,vep_vwt-ud-test_Case=Ela,5.689903338370521,1.541103500742244
13,fi_tdt-ud-train_Case=Ela,5.923646787402798,2.3139522010695543
14,fi_tdt-ud-test_Case=Ela,5.869756428280798,2.1435170928508476
15,fi_tdt-ud-dev_Case=Ela,5.906731158920613,2.2829522933712147
16,myv_jr-ud-test_Case=Ela,5.72465915268813,1.8503197558178164
17,myv_jr-ud-train_Case=Ela,5.679662967868025,2.383275057562597
18,kpv_ikdp-ud-test_Case=Ela,6.500000000000001,4.123105625617661
19,kpv_lattice-ud-test_Case=Ela,5.965493054027296,3.336825538583822
20,kpv_lattice-ud-train_Case=Ela,5.07444578254611,2.23606797749979
21,fi_pud-ud-test_Case=Ela,6.112267025697574,2.8276189821937745
22,et_edt-ud-dev_Case=Ela,5.818526038105719,1.96396624581025
23,et_edt-ud-train_Case=Ela,5.797901468594399,1.8700246112386445
24,et_edt-ud-test_Case=Ela,5.820593762166933,1.9906393640009086
25,wbp_ufal-ud-test_Case=Ela,5.634713834792322,1.0
26,koi_uh-ud-train_Case=Ela,5.545268253204709,0.0
27,koi_uh-ud-test_Case=Ela,5.937171043518958,3.8078865529319543
28,krl_kkpp-ud-test_Case=Ela,5.671930888154404,1.555892027102138
29,fi_ftb-ud-dev_Case=Ela,5.545268253204709,0.0
30,fi_ftb-ud-train_Case=Ela,5.545268253204709,0.0
31,fi_ftb-ud-test_Case=Ela,5.545268253204709,0.0
