,Treebank,sah_yktdt-ud-test_Case=Cmp,ml_ufal-ud-test_Case=Cmp,egy_ujaen-ud-test_Case=Cmp,mdf_jr-ud-test_Case=Cmp,myv_jr-ud-test_Case=Cmp,myv_jr-ud-train_Case=Cmp,kpv_lattice-ud-test_Case=Cmp,sjo_xdt-ud-test_Case=Cmp,koi_uh-ud-train_Case=Cmp,gu_gujtb-ud-test_Case=Cmp
0,fi_ood-ud-test_Case=Abe,5.734883511361751,4.988876515698588,6.6248689714505975,6.6248689714505975,6.6248689714505975,8.768630958643937,6.6248689714505975,7.803133273813084,6.6248689714505975,5.734883511361751
1,sms_giellagas-ud-test_Case=Abe,0.0,1.4142135623730951,1.0,1.0,1.0,12.0,1.0,9.899494936611665,1.0,0.0
2,sms_giellagas-ud-train_Case=Abe,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
3,et_ewt-ud-train_Case=Abe,3.8273392947447844,3.159408079123499,4.723895928549249,4.723895928549249,4.723895928549249,9.420390871526276,4.723895928549249,8.122921851798825,4.723895928549249,3.8273392947447844
4,et_ewt-ud-test_Case=Abe,9.797958971132713,9.018499505645789,10.661457061146319,10.661457061146319,10.661457061146319,7.831560082980488,10.661457061146319,8.79393730551528,10.661457061146319,9.797958971132713
5,et_ewt-ud-dev_Case=Abe,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
6,gub_tudet-ud-test_Case=Abe,1.4142135623730951,1.4142135623730951,2.23606797749979,2.23606797749979,2.23606797749979,11.224972160321824,2.23606797749979,9.273618495495704,2.23606797749979,1.4142135623730951
7,olo_kkpp-ud-test_Case=Abe,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
8,olo_kkpp-ud-train_Case=Abe,1.0,2.23606797749979,0.0,0.0,0.0,12.84523257866513,0.0,10.63014581273465,0.0,1.0
9,mdf_jr-ud-test_Case=Abe,0.7071067811865476,1.224744871391589,1.5811388300841898,1.5811388300841898,1.5811388300841898,11.510864433221338,1.5811388300841898,9.565563234854496,1.5811388300841898,0.7071067811865476
10,fi_tdt-ud-train_Case=Abe,11.136152337719203,10.320556617202818,12.021392967908872,12.021392967908872,12.021392967908872,8.544816492405726,12.021392967908872,9.24737199905405,12.021392967908872,11.136152337719203
11,fi_tdt-ud-test_Case=Abe,8.12403840463596,7.3484692283495345,9.0,9.0,9.0,8.366600265340756,9.0,8.12403840463596,9.0,8.12403840463596
12,fi_tdt-ud-dev_Case=Abe,2.449489742783178,2.0,3.3166247903554,3.3166247903554,3.3166247903554,10.488088481701515,3.3166247903554,8.717797887081348,3.3166247903554,2.449489742783178
13,myv_jr-ud-test_Case=Abe,0.692820323027551,1.131370849898476,1.6370705543744901,1.6370705543744901,1.6370705543744901,11.509995655950528,1.6370705543744901,9.491048414163739,1.6370705543744901,0.692820323027551
