,Treebank,hu_szeged-ud-dev_Case=Sup,hu_szeged-ud-test_Case=Sup,hu_szeged-ud-train_Case=Sup,egy_ujaen-ud-test_Case=Sup
0,es_gsd-ud-train_Case=Com,3.8823541579850134,3.8165898423450426,3.7946573857264037,4.743416490252569
1,fi_ood-ud-test_Case=Com,1.668178268519212,1.5779636040804201,1.5444269599311307,2.6457513110645907
2,es_ancora-ud-train_Case=Com,8.306200314409471,8.23296033043213,8.208112382611136,9.219544457292887
3,es_ancora-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
4,es_ancora-ud-dev_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
5,sms_giellagas-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
6,et_ewt-ud-train_Case=Com,8.86037368561947,8.787213634411657,8.763116295083833,9.727331990547098
7,et_ewt-ud-test_Case=Com,6.632850096152808,6.562028426461346,6.538330134036684,7.497106880006976
8,et_ewt-ud-dev_Case=Com,10.43689438280325,10.368074602950626,10.344777644190867,11.28188777357483
9,ml_ufal-ud-test_Case=Com,10.218634933051481,10.155579868679867,10.133652976629723,11.022703842524301
10,apu_ufpa-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
11,egy_ujaen-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
12,mr_ufal-ud-train_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
13,olo_kkpp-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
14,mdf_jr-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
15,vep_vwt-ud-test_Case=Com,10.041590679431268,9.968197888073977,9.943801172593314,10.908712114635714
16,es_pud-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
17,fi_tdt-ud-train_Case=Com,1.9427406907713354,1.8605822174676037,1.8323913803757717,2.9067128499108295
18,fi_tdt-ud-test_Case=Com,0.08635054556386229,0.17786456215091254,0.2125409675855333,1.0
19,fi_tdt-ud-dev_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
20,myv_jr-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
21,myv_jr-ud-train_Case=Com,2.3911506318622857,2.3222288676140956,2.2987039956600173,3.3166247903554
22,kpv_ikdp-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
23,kpv_lattice-ud-test_Case=Com,18.410777598435054,18.343095044252188,18.319825978030778,19.235384061671343
24,fi_pud-ud-test_Case=Com,0.42587493492507567,0.3838965266968125,0.37488702909624105,1.3743685418725535
25,et_edt-ud-dev_Case=Com,4.445625484001176,4.372299766957793,4.34844893020461,5.331827029066583
26,et_edt-ud-train_Case=Com,4.3087754926824875,4.236775562537772,4.213193127381933,5.189646676477866
27,et_edt-ud-test_Case=Com,3.96689672471812,3.895846156397297,3.87250299419279,4.845626776316869
28,sjo_xdt-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
29,wbp_ufal-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
30,koi_uh-ud-test_Case=Com,7.020172272498714,6.959483715064424,6.9384681057712605,7.810249675906654
31,sme_giella-ud-train_Case=Com,15.050706321118131,14.983510741338376,14.96018269859873,15.880412463157246
32,sme_giella-ud-test_Case=Com,6.860819913833224,6.792907864362383,6.768671166296227,7.707374917435497
33,arr_tudet-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
34,ta_mwtt-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
35,ta_ttb-ud-train_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
36,ta_ttb-ud-dev_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
37,ta_ttb-ud-test_Case=Com,2.7780571168094093,2.718960631119959,2.698896081671788,3.605551275463989
38,krl_kkpp-ud-test_Case=Com,1.3647449873464612,1.3031893450822112,1.268040495938297,2.23606797749979
39,eu_bdt-ud-train_Case=Com,38.96132843502067,38.88998510359736,38.86459906846358,39.816070178314234
40,eu_bdt-ud-test_Case=Com,29.712555575584172,29.640893403006512,29.61551429459326,30.571410028180104
41,eu_bdt-ud-dev_Case=Com,38.428554919855024,38.356972381131875,38.330805356135514,39.29694644625712
42,fi_ftb-ud-dev_Case=Com,0.5648456599972486,0.4730385101646222,0.4508806061718034,1.5456030825826172
43,fi_ftb-ud-train_Case=Com,0.5864284766113985,0.5001269243111343,0.472693840086485,1.614826143444763
44,fi_ftb-ud-test_Case=Com,0.6305563767462895,0.5456619040946938,0.5220556330074665,1.6370705543744901
45,bxr_bdt-ud-test_Case=Com,0.9252486125318014,0.8383739502885307,0.8115196240486593,1.959507443590762
46,bej_nsc-ud-test_Case=Com,1.0734914778194846,1.1623597751615378,1.1940437448107284,0.0
