,Treebank,si_stb-ud-test_Case=Cns,kpv_lattice-ud-test_Case=Cns,wbp_ufal-ud-test_Case=Cns
0,fi_ood-ud-test_Case=Par,6.569525682606758,10.881208844195129,10.881208844195129
1,sah_yktdt-ud-test_Case=Par,2.1725560982400434,6.334035048845246,6.334035048845246
2,sms_giellagas-ud-test_Case=Par,4.58257569495584,0.0,0.0
3,et_ewt-ud-train_Case=Par,44.70467906005542,49.174596926907114,49.174596926907114
4,et_ewt-ud-test_Case=Par,39.61175851615758,44.08588319352249,44.08588319352249
5,et_ewt-ud-dev_Case=Par,27.19871320485585,31.663385794952504,31.663385794952504
6,olo_kkpp-ud-test_Case=Par,135.31444860028807,139.7390425042336,139.7390425042336
7,olo_kkpp-ud-train_Case=Par,4.58257569495584,0.0,0.0
8,vep_vwt-ud-test_Case=Par,4.58257569495584,0.0,0.0
9,fi_tdt-ud-train_Case=Par,14.316325367366263,18.711198078741774,18.711198078741774
10,fi_tdt-ud-test_Case=Par,14.279334718396372,18.668674296799974,18.668674296799974
11,fi_tdt-ud-dev_Case=Par,12.738966897533828,17.107076434426677,17.107076434426677
12,ru_taiga-ud-train_Case=Par,42.5440947723653,46.65833258915282,46.65833258915282
13,ru_taiga-ud-dev_Case=Par,4.58257569495584,0.0,0.0
14,ru_taiga-ud-test_Case=Par,4.58257569495584,0.0,0.0
15,fi_pud-ud-test_Case=Par,17.43503557161586,21.823579013918195,21.823579013918195
16,et_edt-ud-dev_Case=Par,87.12346566738601,91.58649739557852,91.58649739557852
17,et_edt-ud-train_Case=Par,75.81080769994085,80.27025559877289,80.27025559877289
18,et_edt-ud-test_Case=Par,77.33722575579826,81.79242650183359,81.79242650183359
19,ru_syntagrus-ud-train_Case=Par,80.68766944211488,84.27039812413372,84.27039812413372
20,ru_syntagrus-ud-dev_Case=Par,4.58257569495584,0.0,0.0
21,ru_syntagrus-ud-test_Case=Par,4.58257569495584,0.0,0.0
22,ru_poetry-ud-dev_Case=Par,4.58257569495584,0.0,0.0
23,ru_poetry-ud-train_Case=Par,9.055385138137417,12.36931687685298,12.36931687685298
24,krl_kkpp-ud-test_Case=Par,30.85649780500249,35.21696420620656,35.21696420620656
25,eu_bdt-ud-train_Case=Par,24.588805888045886,29.085810543974876,29.085810543974876
26,eu_bdt-ud-test_Case=Par,13.26499151903234,17.713271860387625,17.713271860387625
27,eu_bdt-ud-dev_Case=Par,6.831877941899852,11.285692885477854,11.285692885477854
28,fi_ftb-ud-dev_Case=Par,4.998229151728286,9.401034930993175,9.401034930993175
29,fi_ftb-ud-train_Case=Par,6.8894196784587445,11.310617670681031,11.310617670681031
30,fi_ftb-ud-test_Case=Par,7.147066428906699,11.574769776600762,11.574769776600762
31,ru_gsd-ud-dev_Case=Par,4.58257569495584,0.0,0.0
32,ru_gsd-ud-train_Case=Par,4.58257569495584,0.0,0.0
