,Treebank,kpv_lattice-ud-test_Case=Apr,koi_uh-ud-test_Case=Apr
0,xcl_caval-ud-train_Case=Abl,5.817128737903831,1.9351894565771866
1,xcl_caval-ud-dev_Case=Abl,5.724887551709533,1.5405111778306224
2,xcl_caval-ud-test_Case=Abl,5.777934239018432,1.7956245877591162
3,hu_szeged-ud-dev_Case=Abl,5.666973030934003,1.2204848763230673
4,hu_szeged-ud-test_Case=Abl,5.670534249758655,1.1853095282186634
5,hu_szeged-ud-train_Case=Abl,5.694658753779322,1.3230899037571242
6,tr_pud-ud-test_Case=Abl,5.745761664299412,1.5705228683121009
7,fi_ood-ud-test_Case=Abl,5.831322770994208,1.9451830310337004
8,sah_yktdt-ud-test_Case=Abl,5.735229476041664,1.4638501094227998
9,sa_vedic-ud-test_Case=Abl,7.215494205150698,4.835176356148253
10,sa_vedic-ud-train_Case=Abl,8.150181324443144,6.156303355579317
11,sa_vedic-ud-dev_Case=Abl,10.25303153449666,8.84095777816305
12,la_circse-ud-test_Case=Abl,6.074391024550149,3.0524509968820435
13,tr_atis-ud-dev_Case=Abl,20.34516604134751,19.847563609924517
14,tr_atis-ud-train_Case=Abl,18.57731405863442,18.015411712519857
15,tr_atis-ud-test_Case=Abl,25.08464835977043,24.740949523681046
16,hi_pud-ud-test_Case=Abl,5.545268253204709,0.0
17,la_perseus-ud-test_Case=Abl,5.930435223669175,2.1645814420642675
18,la_perseus-ud-train_Case=Abl,5.981990926750615,2.37784999625236
19,tr_kenet-ud-dev_Case=Abl,5.754501760753424,1.6370949844766072
20,tr_kenet-ud-test_Case=Abl,5.847316310346226,1.9732560939189738
21,tr_kenet-ud-train_Case=Abl,5.749726807789703,1.661973692717177
22,ess_sli-ud-test_Case=Abl,117.58294944421151,117.45211790342479
23,ky_tuecl-ud-test_Case=Abl,5.634713834792322,1.0
24,hit_hittb-ud-test_Case=Abl,5.6493964698339925,1.0796668344321692
25,sa_ufal-ud-test_Case=Abl,5.982542630565252,2.543499116394979
26,et_ewt-ud-train_Case=Abl,5.670358274656281,1.2835136958394355
27,et_ewt-ud-test_Case=Abl,5.686977754161815,1.3211972336398206
28,et_ewt-ud-dev_Case=Abl,5.675385449465085,1.2083045973594573
29,gub_tudet-ud-test_Case=Abl,5.634713834792322,1.0
30,ml_ufal-ud-test_Case=Abl,5.545268253204709,0.0
31,egy_ujaen-ud-test_Case=Abl,5.545268253204709,0.0
32,sq_tsa-ud-test_Case=Abl,6.02540916084174,2.560381915956203
33,mr_ufal-ud-train_Case=Abl,5.634713834792322,1.0
34,si_stb-ud-test_Case=Abl,5.809475019311125,1.7320508075688774
35,olo_kkpp-ud-test_Case=Abl,5.545268253204709,0.0
36,olo_kkpp-ud-train_Case=Abl,5.634713834792322,1.0
37,hy_bsut-ud-train_Case=Abl,5.747718857843468,1.6337841938927158
38,hy_bsut-ud-test_Case=Abl,5.718107476143282,1.555949842652198
39,hy_bsut-ud-dev_Case=Abl,5.719822268393217,1.5685931368795876
40,mdf_jr-ud-test_Case=Abl,7.183458150912912,5.008277172510163
41,mdf_jr-ud-train_Case=Abl,5.545268253204709,0.0
42,vep_vwt-ud-test_Case=Abl,5.766281297335398,1.5811388300841898
43,la_llct-ud-dev_Case=Abl,6.782542350107146,4.155343916539191
44,la_llct-ud-test_Case=Abl,6.848911848361964,4.275279936582964
45,la_llct-ud-train_Case=Abl,6.662886481397143,3.915000890586476
46,fi_tdt-ud-train_Case=Abl,5.81382022249051,1.8930626924303462
47,fi_tdt-ud-test_Case=Abl,5.766292948895375,1.6816667996186203
48,fi_tdt-ud-dev_Case=Abl,5.935275899231644,2.26439837484485
49,myv_jr-ud-test_Case=Abl,5.75057837284824,1.6672809540006404
50,myv_jr-ud-train_Case=Abl,5.889892053541122,2.0580816789521883
51,tr_framenet-ud-test_Case=Abl,5.671870797470202,1.2391541302759241
52,tr_framenet-ud-train_Case=Abl,5.982039716432437,2.31313394395121
53,tr_framenet-ud-dev_Case=Abl,6.140846847137616,2.6758176320519302
54,ky_ktmu-ud-train_Case=Abl,5.8847259919217985,2.06881608655772
55,ky_ktmu-ud-test_Case=Abl,5.951691894033105,2.307747305488443
56,la_proiel-ud-test_Case=Abl,6.063864227457326,2.615626502506727
57,la_proiel-ud-dev_Case=Abl,6.057181448234519,2.59310032953965
58,la_proiel-ud-train_Case=Abl,6.040840463710228,2.539096521469755
59,kpv_ikdp-ud-test_Case=Abl,7.399324293474371,5.5677643628300215
60,kpv_lattice-ud-test_Case=Abl,6.179166510576657,2.9038076323048845
61,tt_nmctt-ud-test_Case=Abl,5.706037527560433,1.457619202539603
62,tr_gb-ud-test_Case=Abl,6.049962988343558,2.4870435246815115
63,fi_pud-ud-test_Case=Abl,5.78909940102949,1.7539019000502851
64,hy_armtdp-ud-train_Case=Abl,5.714254154067675,1.4836590668344454
65,hy_armtdp-ud-dev_Case=Abl,5.698156759742806,1.3111027643181319
66,hy_armtdp-ud-test_Case=Abl,5.770056486908201,1.6961383184884282
67,ota_boun-ud-train_Case=Abl,5.767378352529379,1.7963682182420742
68,ota_boun-ud-test_Case=Abl,5.732595309383097,1.5290975041636563
69,et_edt-ud-dev_Case=Abl,5.685471999393093,1.4090957242119833
70,et_edt-ud-train_Case=Abl,5.694775359249761,1.4197364464940068
71,et_edt-ud-test_Case=Abl,5.685090883098205,1.4312649016347547
72,sjo_xdt-ud-test_Case=Abl,15.734357311310811,14.724808997063425
73,la_udante-ud-train_Case=Abl,6.022309386013985,2.498443095671545
74,la_udante-ud-test_Case=Abl,6.193470272060905,2.9101945505838316
75,la_udante-ud-dev_Case=Abl,6.012972980851781,2.4494512826049313
76,hyw_armtdp-ud-test_Case=Abl,5.681360127069566,1.3047112700161232
77,hyw_armtdp-ud-dev_Case=Abl,5.7237359071920695,1.5427691637114966
78,hyw_armtdp-ud-train_Case=Abl,5.73721199580562,1.568983123616363
79,arr_tudet-ud-test_Case=Abl,5.545268253204709,0.0
80,aln_gps-ud-test_Case=Abl,5.732749005235167,1.5302561498969776
81,kk_ktb-ud-test_Case=Abl,5.783830129959059,1.8525273652199823
82,kk_ktb-ud-train_Case=Abl,5.75476732273126,1.7554579610635008
83,gn_oldtudet-ud-test_Case=Abl,5.634713834792322,1.0
84,ta_mwtt-ud-test_Case=Abl,5.634713834792322,1.0
85,ota_dudu-ud-test_Case=Abl,5.729229797631971,1.5869840952317444
86,ug_udt-ud-test_Case=Abl,5.729318179814728,1.5350364183157206
87,ug_udt-ud-dev_Case=Abl,5.772621203193187,1.7281460843600258
88,ug_udt-ud-train_Case=Abl,5.744061829743574,1.6695676627379603
89,xum_ikuvina-ud-test_Case=Abl,5.981368554093028,2.5041310307005324
90,la_ittb-ud-dev_Case=Abl,6.032947822516263,2.4854867652813493
91,la_ittb-ud-test_Case=Abl,6.063303122714628,2.5623293212180593
92,la_ittb-ud-train_Case=Abl,6.01429612063462,2.443536577527555
93,qtd_sagt-ud-test_Case=Abl,5.69793056665157,1.3690534975757436
94,qtd_sagt-ud-dev_Case=Abl,5.683889051495263,1.3159986632464675
95,qtd_sagt-ud-train_Case=Abl,5.707202242290204,1.423460244283413
96,krl_kkpp-ud-test_Case=Abl,5.624055476255546,1.2165525060596438
97,eu_bdt-ud-train_Case=Abl,5.804265151541144,1.779667587408437
98,eu_bdt-ud-test_Case=Abl,5.829802741088243,1.8991050523865183
99,eu_bdt-ud-dev_Case=Abl,5.832648555162084,1.8603226612578245
100,fi_ftb-ud-dev_Case=Abl,5.545268253204709,0.0
101,fi_ftb-ud-train_Case=Abl,5.545268253204709,0.0
102,fi_ftb-ud-test_Case=Abl,5.545268253204709,0.0
103,eme_tudet-ud-test_Case=Abl,5.642411324562891,1.042499666933067
104,tr_tourism-ud-train_Case=Abl,6.96017038977153,4.334114853669353
105,tr_tourism-ud-dev_Case=Abl,19.859579365182523,19.119675297218684
106,tr_tourism-ud-test_Case=Abl,7.111066273389404,4.552620613847279
107,aqz_tudet-ud-test_Case=Abl,5.634713834792322,1.0
108,tr_imst-ud-train_Case=Abl,6.002863021218388,2.45594317326027
109,tr_imst-ud-dev_Case=Abl,5.977488762082824,2.40092957204441
110,tr_imst-ud-test_Case=Abl,5.90716824529323,2.1970411055274233
111,gu_gujtb-ud-test_Case=Abl,5.634713834792322,1.0
112,bxr_bdt-ud-train_Case=Abl,5.545268253204709,0.0
113,bxr_bdt-ud-test_Case=Abl,51.47086554547145,51.53154373779229
114,bej_nsc-ud-test_Case=Abl,5.545268253204709,0.0
115,tr_boun-ud-dev_Case=Abl,5.742103153728337,1.5505580865874455
116,tr_boun-ud-test_Case=Abl,5.742910031073097,1.561174437723088
117,tr_boun-ud-train_Case=Abl,5.748421091093985,1.606603082099346
118,tr_penn-ud-dev_Case=Abl,5.993991493019348,2.476170913018999
119,tr_penn-ud-test_Case=Abl,5.812615649972626,1.8598483555317864
120,tr_penn-ud-train_Case=Abl,5.9609896045839745,2.3789509973157035
