,Treebank,hu_szeged-ud-dev_Case=Del,hu_szeged-ud-test_Case=Del,hu_szeged-ud-train_Case=Del
0,el_gud-ud-train_Case=Voc,11.136498773774079,11.280856304669589,11.148193329242762
1,el_gud-ud-test_Case=Voc,13.307382152515439,13.438686642553602,13.318560971742581
2,fa_seraji-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
3,fa_seraji-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
4,fa_seraji-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
5,sga_dipsgg-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
6,pl_pdb-ud-test_Case=Voc,5.283270801816931,5.394037146925263,5.292653802380889
7,pl_pdb-ud-train_Case=Voc,5.48961672120561,5.6107633017606,5.499869416922891
8,pl_pdb-ud-dev_Case=Voc,3.3654746698031204,3.4783858673192043,3.375016003620036
9,uk_iu-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
10,uk_iu-ud-train_Case=Voc,40.794917681519784,40.93486919568759,40.80750080455283
11,uk_iu-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
12,sa_vedic-ud-test_Case=Voc,346.0860968310531,346.2241207324204,346.0976430298283
13,sa_vedic-ud-train_Case=Voc,158.18216166476373,158.3208621252031,158.19376322270082
14,sa_vedic-ud-dev_Case=Voc,414.06880504167657,414.20664139646243,414.08030039772376
15,kmr_mg-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
16,hr_set-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
17,hr_set-ud-train_Case=Voc,32.91365433942741,33.05611886366762,32.92576936960239
18,hr_set-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
19,orv_rnc-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
20,orv_rnc-ud-train_Case=Voc,58.769900753429056,58.8885932470693,58.77991587951167
21,orv_rnc-ud-test_Case=Voc,11.314458683854124,11.431527475183666,11.324232116337575
22,cpg_tuecl-ud-test_Case=Voc,24.368189140256373,24.50222782201582,24.379423466937173
23,la_circse-ud-test_Case=Voc,51.98426875056399,52.13163141825625,51.99612513756181
24,grc_perseus-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
25,grc_perseus-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
26,grc_perseus-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
27,qpm_philotis-ud-train_Case=Voc,88.25391258420078,88.38410757930292,88.26472593361292
28,qpm_philotis-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
29,qpm_philotis-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
30,la_perseus-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
31,la_perseus-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
32,sk_snk-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
33,lt_hse-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
34,ess_sli-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
35,hit_hittb-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
36,sa_ufal-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
37,be_hse-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
38,be_hse-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
39,be_hse-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
40,cs_pud-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
41,orv_ruthenian-ud-test_Case=Voc,5.416310529602824,5.543350382156739,5.427108880653597
42,orv_ruthenian-ud-train_Case=Voc,7.147476460477951,7.277902437800323,7.15857370354848
43,orv_ruthenian-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
44,ml_ufal-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
45,egy_ujaen-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
46,ro_nonstandard-ud-test_Case=Voc,21.066766291372502,21.18589766871835,21.076904853651463
47,ro_nonstandard-ud-dev_Case=Voc,70.73603339001338,70.85756099987256,70.74638317981133
48,ro_nonstandard-ud-train_Case=Voc,34.633567710325174,34.76079805305747,34.64433965400016
49,ro_simonero-ud-train_Case=Voc,1.1439589045541112,1.3230542656263427,1.1526104296201454
50,mr_ufal-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
51,mr_ufal-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
52,ro_tuecl-ud-test_Case=Voc,4.9077917389683945,5.031469962257194,4.9182946143536626
53,lt_alksnis-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
54,lt_alksnis-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
55,lt_alksnis-ud-train_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
56,vi_tuecl-ud-test_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
57,cu_proiel-ud-train_Case=Voc,16.07655678266926,16.202848243736902,16.087347195731358
58,cu_proiel-ud-test_Case=Voc,16.791696620665505,16.922320096059106,16.802511079331687
59,cu_proiel-ud-dev_Case=Voc,20.631148077427877,20.763538459594464,20.642825897440435
60,la_llct-ud-dev_Case=Voc,1.259531560972737,1.08869426309121,1.2452843148017878
61,la_llct-ud-train_Case=Voc,4.762896722078402,4.91304585334283,4.775334485085254
