,Treebank,am_att-ud-test_Case=Mal
0,xcl_caval-ud-train_Case=Abl,2.0260696515291636
1,xcl_caval-ud-dev_Case=Abl,1.6532315896513385
2,xcl_caval-ud-test_Case=Abl,1.893216221186871
3,hu_szeged-ud-dev_Case=Abl,1.3599938725352159
4,hu_szeged-ud-test_Case=Abl,1.3285174736095684
5,hu_szeged-ud-train_Case=Abl,1.4527790242924201
6,tr_pud-ud-test_Case=Abl,1.681232309911771
7,fi_ood-ud-test_Case=Abl,2.0356171113992567
8,sah_yktdt-ud-test_Case=Abl,1.582042079989386
9,sa_vedic-ud-test_Case=Abl,4.872261322533419
10,sa_vedic-ud-train_Case=Abl,6.185472577412106
11,sa_vedic-ud-dev_Case=Abl,8.861294173836107
12,la_circse-ud-test_Case=Abl,3.110861149001379
13,tr_atis-ud-dev_Case=Abl,19.856630662073563
14,tr_atis-ud-train_Case=Abl,18.025400388662593
15,tr_atis-ud-test_Case=Abl,24.74822384199184
16,hi_pud-ud-test_Case=Abl,0.6
17,la_perseus-ud-test_Case=Abl,2.246199639241585
18,la_perseus-ud-train_Case=Abl,2.4523805994741825
19,tr_kenet-ud-dev_Case=Abl,1.7435825154544486
20,tr_kenet-ud-test_Case=Abl,2.06245960255913
21,tr_kenet-ud-train_Case=Abl,1.7669625223201453
22,ess_sli-ud-test_Case=Abl,117.45365043284096
23,ky_tuecl-ud-test_Case=Abl,1.16619037896906
24,hit_hittb-ud-test_Case=Abl,1.2351843884104028
25,sa_ufal-ud-test_Case=Abl,2.613309731949514
26,et_ewt-ud-train_Case=Abl,1.4168300559373403
27,et_ewt-ud-test_Case=Abl,1.451055522775581
28,et_ewt-ud-dev_Case=Abl,1.349073756323204
29,gub_tudet-ud-test_Case=Abl,1.16619037896906
30,ml_ufal-ud-test_Case=Abl,0.6
31,egy_ujaen-ud-test_Case=Abl,0.6
32,sq_tsa-ud-test_Case=Abl,2.6297443897754693
33,mr_ufal-ud-train_Case=Abl,1.16619037896906
34,si_stb-ud-test_Case=Abl,1.8330302779823362
35,olo_kkpp-ud-test_Case=Abl,0.6
36,olo_kkpp-ud-train_Case=Abl,1.16619037896906
37,hy_bsut-ud-train_Case=Abl,1.7404743009345676
38,hy_bsut-ud-test_Case=Abl,1.6676270304985463
39,hy_bsut-ud-dev_Case=Abl,1.679429792836171
40,mdf_jr-ud-test_Case=Abl,5.044089634085262
41,mdf_jr-ud-train_Case=Abl,0.6
42,vep_vwt-ud-test_Case=Abl,1.6911534525287764
43,la_llct-ud-dev_Case=Abl,4.198438169691113
44,la_llct-ud-test_Case=Abl,4.317177149034868
45,la_llct-ud-train_Case=Abl,3.9605790835590766
46,fi_tdt-ud-train_Case=Abl,1.9858716870612843
47,fi_tdt-ud-test_Case=Abl,1.785498032745915
48,fi_tdt-ud-dev_Case=Abl,2.3425413550244953
49,myv_jr-ud-test_Case=Abl,1.771955354847657
50,myv_jr-ud-train_Case=Abl,2.1437584279108175
51,tr_framenet-ud-test_Case=Abl,1.3767726604562867
52,tr_framenet-ud-train_Case=Abl,2.389683795538498
53,tr_framenet-ud-dev_Case=Abl,2.7422618401604177
54,ky_ktmu-ud-train_Case=Abl,2.154065922853802
55,ky_ktmu-ud-test_Case=Abl,2.3844700933308367
56,la_proiel-ud-test_Case=Abl,2.683561439694566
57,la_proiel-ud-dev_Case=Abl,2.6616102868486666
58,la_proiel-ud-train_Case=Abl,2.6090249414943916
59,kpv_ikdp-ud-test_Case=Abl,5.6
60,kpv_lattice-ud-test_Case=Abl,2.9651473429548316
61,tt_nmctt-ud-test_Case=Abl,1.5762784460913586
62,tr_gb-ud-test_Case=Abl,2.5547565133486687
63,fi_pud-ud-test_Case=Abl,1.853691418494459
64,hy_armtdp-ud-train_Case=Abl,1.6003887735797377
65,hy_armtdp-ud-dev_Case=Abl,1.4418704722001374
66,hy_armtdp-ud-test_Case=Abl,1.799134568464725
67,ota_boun-ud-train_Case=Abl,1.8939215336201771
68,ota_boun-ud-test_Case=Abl,1.642601344587153
69,et_edt-ud-dev_Case=Abl,1.5315191020658194
70,et_edt-ud-train_Case=Abl,1.5413148859021084
71,et_edt-ud-test_Case=Abl,1.551940468784658
72,sjo_xdt-ud-test_Case=Abl,14.737028194313805
73,la_udante-ud-train_Case=Abl,2.569478138126264
74,la_udante-ud-test_Case=Abl,2.971402416746649
75,la_udante-ud-dev_Case=Abl,2.5218666867729036
76,hyw_armtdp-ud-test_Case=Abl,1.436061105283158
77,hyw_armtdp-ud-dev_Case=Abl,1.6553358246890781
78,hyw_armtdp-ud-train_Case=Abl,1.6797940475525441
79,arr_tudet-ud-test_Case=Abl,0.6
80,aln_gps-ud-test_Case=Abl,1.6436799823254893
81,kk_ktb-ud-test_Case=Abl,1.9472692774469815
82,kk_ktb-ud-train_Case=Abl,1.8551637806569057
83,gn_oldtudet-ud-test_Case=Abl,1.16619037896906
84,ta_mwtt-ud-test_Case=Abl,1.16619037896906
85,ota_dudu-ud-test_Case=Abl,1.696619733033457
86,ug_udt-ud-test_Case=Abl,1.6481313071340995
87,ug_udt-ud-dev_Case=Abl,1.8293411078551998
88,ug_udt-ud-train_Case=Abl,1.7741071502195958
89,xum_ikuvina-ud-test_Case=Abl,2.5750091687054844
90,la_ittb-ud-dev_Case=Abl,2.5568817845940286
91,la_ittb-ud-test_Case=Abl,2.631640467536134
92,la_ittb-ud-train_Case=Abl,2.5161222159734367
93,qtd_sagt-ud-test_Case=Abl,1.4947600072333942
94,qtd_sagt-ud-dev_Case=Abl,1.4463237817537569
95,qtd_sagt-ud-train_Case=Abl,1.5367983833727268
96,krl_kkpp-ud-test_Case=Abl,1.3564659966250536
97,eu_bdt-ud-train_Case=Abl,1.8780885819556454
98,eu_bdt-ud-test_Case=Abl,1.9916324962201237
99,eu_bdt-ud-dev_Case=Abl,1.9546867789979536
100,fi_ftb-ud-dev_Case=Abl,0.6
101,fi_ftb-ud-train_Case=Abl,0.6
102,fi_ftb-ud-test_Case=Abl,0.6
103,eme_tudet-ud-test_Case=Abl,1.2028323056667358
104,tr_tourism-ud-train_Case=Abl,4.3754487272504194
105,tr_tourism-ud-dev_Case=Abl,19.129087366392426
106,tr_tourism-ud-test_Case=Abl,4.591988072025795
107,aqz_tudet-ud-test_Case=Abl,1.16619037896906
108,tr_imst-ud-train_Case=Abl,2.5281726345888105
109,tr_imst-ud-dev_Case=Abl,2.474765202987418
110,tr_imst-ud-test_Case=Abl,2.2774963489272957
111,gu_gujtb-ud-test_Case=Abl,1.16619037896906
112,bxr_bdt-ud-train_Case=Abl,0.6
113,bxr_bdt-ud-test_Case=Abl,51.53503662558124
114,bej_nsc-ud-test_Case=Abl,0.6
115,tr_boun-ud-dev_Case=Abl,1.6625974798133552
116,tr_boun-ud-test_Case=Abl,1.672502802688235
117,tr_boun-ud-train_Case=Abl,1.7149849746896086
118,tr_penn-ud-dev_Case=Abl,2.5478269938285334
119,tr_penn-ud-test_Case=Abl,1.9542353761955826
120,tr_penn-ud-train_Case=Abl,2.4534481546650584
