Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,conj,nmod,nsubj,obj,obl,parataxis,root,xcomp
fi_ood-ud-test,2122,0,3,,,,,,,,3.0,,,
sms_giellagas-ud-test,230,0,1,,,,,,,,1.0,,,
et_ewt-ud-train,5444,0,39,1.0,,,6.0,11.0,,,19.0,1.0,1.0,
et_ewt-ud-test,913,0,8,,1.0,,,5.0,,,2.0,,,
et_ewt-ud-dev,833,0,1,,,,,,,,,,1.0,
gub_tudet-ud-test,1182,0,2,,,,,,,1.0,1.0,,,
mdf_jr-ud-test,454,0,3,,,,,1.0,,,2.0,,,
fi_tdt-ud-train,12217,0,13,,,,1.0,,,,12.0,,,
fi_tdt-ud-test,1555,0,2,,,,,,,,2.0,,,
fi_tdt-ud-dev,1364,0,3,,,,,,,,3.0,,,
myv_jr-ud-test,921,0,6,1.0,,,,,,,4.0,,,1.0
myv_jr-ud-train,1217,0,7,,,,,3.0,,,3.0,,1.0,
kpv_ikdp-ud-test,214,0,1,,,,,,,,1.0,,,
kpv_lattice-ud-test,643,0,14,,,,2.0,4.0,1.0,,5.0,,1.0,1.0
fi_pud-ud-test,1000,0,2,,,,,,,,2.0,,,
et_edt-ud-dev,3128,0,27,,,,1.0,9.0,,,16.0,,1.0,
et_edt-ud-train,24615,0,206,1.0,3.0,1.0,29.0,59.0,,,103.0,,10.0,
et_edt-ud-test,3214,0,27,,,,1.0,11.0,,,15.0,,,
koi_uh-ud-test,94,0,4,,,,1.0,,,,2.0,,,1.0
krl_kkpp-ud-test,228,0,1,,,,,,,,1.0,,,
fi_ftb-ud-dev,1875,0,5,,,,,5.0,,,,,,
fi_ftb-ud-train,14981,0,48,,,,2.0,45.0,,,,,1.0,
fi_ftb-ud-test,1867,0,2,,,,,2.0,,,,,,
ab_abnc-ud-test,263,0,2,,,,,,,,2.0,,,
