Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,case,ccomp,compound,compound:nn,compound:prt,conj,csubj,csubj:cop,discourse,fixed,flat,flat:name,nmod,nmod:obl,nmod:poss,nsubj:cop,obj,obl,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,13,,,,,,,,,,,,,,,,,,,3.0,,,,10.0,,,,,
hu_szeged-ud-test,449,0,15,,,,,1.0,,,,,,2.0,,,,,,,,1.0,,,,9.0,2.0,,,,
hu_szeged-ud-train,910,0,15,,,,,,,,,,,,,,,,,,,3.0,,,,12.0,,,,,
fi_ood-ud-test,2122,0,282,,1.0,7.0,,,,5.0,,,,13.0,,2.0,1.0,,,,13.0,,1.0,,,204.0,2.0,2.0,30.0,1.0,
et_ewt-ud-train,5444,0,655,7.0,4.0,18.0,,3.0,,6.0,,,,35.0,3.0,,,,1.0,,32.0,,,,,481.0,2.0,6.0,57.0,,
et_ewt-ud-test,913,0,133,,,1.0,,,,1.0,,,,6.0,1.0,,,,,,7.0,,,,,105.0,1.0,2.0,9.0,,
et_ewt-ud-dev,833,0,88,1.0,,1.0,,,,2.0,,,,3.0,1.0,,,,,,8.0,,,,,62.0,,3.0,7.0,,
olo_kkpp-ud-test,106,0,17,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,
vep_vwt-ud-test,103,0,37,,,,,1.0,,,,,,4.0,,,,,,,1.0,,,,1.0,30.0,,,,,
fi_tdt-ud-train,12217,0,1974,,19.0,40.0,,6.0,2.0,26.0,,2.0,,124.0,1.0,2.0,,,,1.0,174.0,,,,,1382.0,27.0,4.0,157.0,3.0,4.0
fi_tdt-ud-test,1555,0,230,,,3.0,,3.0,,1.0,,1.0,,22.0,,,,,,,20.0,,,,,149.0,8.0,,22.0,,1.0
fi_tdt-ud-dev,1364,0,237,,,4.0,,1.0,,6.0,,,,18.0,,1.0,,,,,26.0,,,,,152.0,5.0,1.0,23.0,,
fi_pud-ud-test,1000,0,190,,3.0,4.0,,,,6.0,,,,12.0,,,,,,,19.0,,,,,125.0,,2.0,19.0,,
et_edt-ud-dev,3128,0,737,5.0,1.0,17.0,,6.0,,5.0,,,,39.0,1.0,,,,2.0,,66.0,,,1.0,,545.0,4.0,7.0,37.0,1.0,
et_edt-ud-train,24615,0,5178,19.0,18.0,103.0,1.0,23.0,,49.0,,,,228.0,4.0,2.0,,4.0,,,441.0,,,,,3901.0,35.0,31.0,319.0,,
et_edt-ud-test,3214,0,653,,2.0,10.0,,,,2.0,,,,19.0,,,,2.0,,,52.0,,,,,519.0,4.0,2.0,41.0,,
krl_kkpp-ud-test,228,0,61,,,,,2.0,4.0,,1.0,,,5.0,,,,,,,,,,,,48.0,,1.0,,,
fi_ftb-ud-dev,1875,0,166,,,1.0,,,,,,1.0,,5.0,,,,1.0,,,152.0,,,,,,,,6.0,,
fi_ftb-ud-train,14981,0,1276,,,12.0,,,,,,,1.0,70.0,,,,,2.0,,1174.0,,,,1.0,,,,16.0,,
fi_ftb-ud-test,1867,0,164,,,1.0,,,,,,,1.0,6.0,,,,,,,153.0,,,,,,,,3.0,,
