Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,case,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,1245,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,104.0,,,,,,,,,,,,6.0,,,,,,,,,1.0,,146.0,,,,,,,,1.0,,,,,,624.0,,321.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,4.0,,8.0,,
sl_ssj-ud-dev,1250,0,1351,,,,,,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,162.0,,,,,,,,,,,,8.0,,,,,,,,,6.0,,181.0,,,,,,,,,,,,,,634.0,,332.0,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,,3.0,,4.0,,
sl_ssj-ud-train,10903,0,10589,,,,,,,5.0,,,,,,,,,,,,112.0,,,,,,,,,,,,,949.0,,,,,1.0,2.0,,,,,,67.0,,,,,,,,,62.0,12.0,1303.0,,,,,,,,2.0,,,,,,5186.0,,2696.0,,,,,,,,,,,,,,,,,38.0,,55.0,,,,,,26.0,,73.0,,
xcl_caval-ud-train,3185,0,3097,,3.0,,,,,10.0,,,,,,,,,,,2.0,44.0,,,,11.0,,,,1.0,,,,1.0,231.0,,,,,,,3.0,,,,,5.0,,,,1.0,,,,,,,39.0,,,,,,,,1.0,,,,,,1765.0,,816.0,,76.0,,,,,,,,,,,,,,,26.0,,,,,,,,5.0,,57.0,,
xcl_caval-ud-dev,411,0,443,,,,,,,1.0,,,,,,,,,,,1.0,9.0,,,,2.0,,,,,,,,,25.0,,,,,,,,,,,,1.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,266.0,,112.0,,6.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,11.0,,
xcl_caval-ud-test,550,0,510,,1.0,,,,,1.0,,,,,,,,,,,2.0,7.0,,,,2.0,,,,,,,,1.0,22.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,303.0,,146.0,,13.0,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,6.0,,
hu_szeged-ud-dev,441,0,435,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,400.0,3.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hu_szeged-ud-test,449,0,400,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,368.0,12.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hu_szeged-ud-train,910,0,727,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,649.0,27.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,
el_gud-ud-train,1071,0,1192,,,,,,,,,,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,59.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,79.0,,,,,,,,7.0,,,1.0,,,521.0,,491.0,5.0,,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,4.0,,
el_gud-ud-test,736,0,949,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,48.0,,,,,,,,,,,,1.0,,,,,,,,,,,77.0,,,,,,,,10.0,,,,,,380.0,,411.0,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,2.0,,
tr_pud-ud-test,1000,0,448,,,,,,,,,,,,,,,,,,,1.0,,,,39.0,,,,3.0,,3.0,,,28.0,,1.0,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,345.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,16.0,,
de_hdt-ud-test,18459,0,21,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,8.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,192,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,3.0,,,,,,74.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
