Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:fin,advcl:relcl,advcl:tcl,amod,appos,case,ccomp,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:advcl,dislocated:nsubj,dislocated:obj,fixed,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:appos,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cau,obl:cmp,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp
xcl_caval-ud-train,3185,0,499,,4.0,,7.0,,,,,,,,,,,2.0,,13.0,,,,,,,,,45.0,,,,,,,,,,,,,,,,,1.0,,78.0,,,,,,,,,,,,312.0,22.0,,,,,,,,,,,,,,8.0,,,,,7.0,,
xcl_caval-ud-dev,411,0,66,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,47.0,1.0,,,,,,,,,,,,,,1.0,,,,,2.0,,
xcl_caval-ud-test,550,0,116,,1.0,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,75.0,6.0,,,,,,,,,,,,,,1.0,,,,,,,
hu_szeged-ud-dev,441,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,13,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,31,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,272,,,,13.0,,,,,,,,,,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,9.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,24.0,,1.0,,,11.0,193.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0
fi_ood-ud-test,2122,0,34,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,2.0,,
sah_yktdt-ud-test,299,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,,,,,,,,,,1.0,,
sa_vedic-ud-test,2709,0,208,,,,1.0,,10.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,29.0,,,,,,,,,1.0,,,,,8.0,,,,,,5.0,,,,,,,,,,1.0,48.0,,,,,,2.0,8.0,,3.0,1.0,,,52.0,9.0,18.0,,1.0,,,6.0,,
sa_vedic-ud-train,21477,0,1379,,6.0,1.0,6.0,,16.0,8.0,,,4.0,1.0,,4.0,,2.0,,11.0,,,,,,,,,133.0,,,,,,,,,1.0,,,,,86.0,,,,,6.0,7.0,,,,,,,,,,3.0,273.0,1.0,,1.0,,,17.0,61.0,1.0,25.0,9.0,3.0,1.0,441.0,53.0,133.0,,5.0,,,60.0,,
sa_vedic-ud-dev,2996,0,205,,1.0,2.0,1.0,,6.0,,,,,,,,,,,2.0,,,,,,,,,32.0,,,,,,,,,,,,,,11.0,,,,,,1.0,,,,,,,,,,1.0,25.0,,,,,,,7.0,,2.0,1.0,,,89.0,17.0,6.0,,,,,1.0,,
la_circse-ud-test,1263,0,1241,,,,2.0,7.0,,,6.0,,,,,,5.0,2.0,,1.0,,,,,,,,,90.0,,,,,,,,,,,,,,1.0,,,,,23.0,,,,,,,,22.0,74.0,,2.0,670.0,69.0,41.0,,,8.0,,,,168.0,,,,,19.0,13.0,1.0,,,,16.0,,1.0
tr_atis-ud-dev,572,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,6.0,,,,,15.0,,,,,,,30.0,,,,,4.0,,,,,,,,,,,,,,40.0,,,,,,1.0,,
tr_atis-ud-train,4274,0,682,,,,,,,,,,,,,,12.0,,,,,,,6.0,,,,,17.0,,,,,,,,,,,,,,32.0,,,,,113.0,,,,,,,152.0,,,,1.0,79.0,,,,,,,,,,,,,,263.0,,,,,,7.0,,
tr_atis-ud-test,586,0,93,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,16.0,,,,,,,33.0,,,,,5.0,,,,,,,,,,,,,,30.0,,,,,,2.0,,
