Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:fin,advcl:manner,advcl:relcl,amod,appos,appos:trans,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,discourse,dislocated,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:cau,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:goal,obl:instr,obl:lmod,obl:manner,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,130,,,,,,,,,,,,,,2.0,,,,,,,,,8.0,,,,,,,,,,,,,,,48.0,,,,22.0,,,,,,,,,,,,,,,22.0,27.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
sl_ssj-ud-dev,1250,0,147,,,,,,,,,,,,,,2.0,,,,,,,,,14.0,,,,,,,,,,,,,,,45.0,,,,30.0,,,,,,,,,,,,,,,32.0,23.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
sl_ssj-ud-train,10903,0,1107,,,,,,,,,,,,,,13.0,,,,,,,,,111.0,,,,,,1.0,,,,,,,,,409.0,,,,141.0,,,,,,,,,,,,,,,202.0,217.0,,,,,,,,,,,,,,,2.0,6.0,,,,5.0,,,,
xcl_caval-ud-train,3185,0,299,,1.0,,,,,,,,,,,,20.0,,,,,,,,1.0,29.0,,,,,,,,,,,,,,,209.0,,,,10.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,5.0,,,,,,,,,
xcl_caval-ud-dev,411,0,43,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
xcl_caval-ud-test,550,0,49,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,36.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,57,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,25.0,,,,,,,,,,1.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,41,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,1.0,25.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
hu_szeged-ud-train,910,0,88,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,1.0,,,,,,,,
tr_pud-ud-test,1000,0,525,,6.0,,,,5.0,,,,,,,3.0,,,1.0,,5.0,,4.0,2.0,3.0,23.0,,2.0,,,,,,,2.0,,,,,,85.0,,,,33.0,,,,,,,5.0,,,,,,,,110.0,205.0,,,,,,,,,,,,,,,,,,,,24.0,,7.0,,
de_hdt-ud-test,18459,0,2995,,,,,,,,,,,,,3.0,24.0,,,,,,,,,218.0,,,,,,,,,,,,,,,,,,,889.0,,,,,,,,,2.0,,,,2.0,,225.0,1283.0,,341.0,,,,,,,,,,,,,,,,,,7.0,,1.0,,
de_hdt-ud-train,153035,0,26180,,6.0,,,,,,,,,,,15.0,202.0,,,,12.0,,,,,2197.0,,,,,,,,,,,,,,,,,,,8087.0,,,,,,,,,38.0,,,13.0,5.0,,1673.0,10981.0,,2857.0,,,,,,,,,,,,,,4.0,,,,88.0,,2.0,,
de_hdt-ud-dev,18434,0,9410,,6.0,,,,4.0,,,,,,,4.0,35.0,,,,4.0,,,,,329.0,,,1.0,,,,,,,,,,,,,,,,3228.0,,,,,,,,,5.0,,,2.0,,,620.0,4821.0,,302.0,,,,,,,,,,,,,,1.0,,,,48.0,,,,
sga_dipsgg-ud-test,64,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,6.0,,,,
pl_pdb-ud-test,2215,0,106,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,,,,,,,74.0,,,,3.0,,3.0,,,,,,,,,,,,,,9.0,,4.0,,,,,,,,,,,,,,,,,,2.0,,,,
pl_pdb-ud-train,17722,0,969,,,,,1.0,,,,,,,,,24.0,,,,,,,,,73.0,,,,,,,,,,,,,,,725.0,,,,28.0,,9.0,,,,,,,,,,,,,1.0,80.0,,21.0,,,4.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,
pl_pdb-ud-dev,2215,0,139,,,,,,,,,,,,,,1.0,,,,,,,,,10.0,,,,,,,,,,,,,,,104.0,,,,3.0,,2.0,,,,,,,,,,,,,,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
sah_yktdt-ud-test,299,0,74,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-dev,673,0,47,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,7.0,,,,6.0,,,,,,,,,,,,,,,22.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,
uk_iu-ud-train,5521,0,330,,,,,,,,,,,,,,22.0,,,,,,,,,34.0,,,,,,,,,,,,,1.0,1.0,95.0,,,,24.0,,,,,,,,,,,,,,,139.0,8.0,,,,,,,,,,,,,,,,,,,,6.0,,,,
