Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,amod,appos,ccomp,csubj,csubj:cop,dep,discourse,expl,fixed,mark,nmod,nsubj,nsubj:cop,obj,obl,orphan,parataxis,root,xcomp,xcomp:ds
fi_ood-ud-test,2122,0,139,,,1.0,,,,1.0,,,,,,3.0,,,13.0,7.0,86,3.0,1.0,,24.0,,
et_ewt-ud-train,5444,0,818,2.0,,4.0,1.0,2.0,,,1.0,,2.0,,,,,23.0,53.0,35.0,637,41.0,,2.0,14.0,1.0,
et_ewt-ud-test,913,0,143,,,,,2.0,,,,,,,,,,3.0,2.0,6.0,122,5.0,,,3.0,,
et_ewt-ud-dev,833,0,99,,,,,,,,,,,,,,,3.0,8.0,6.0,75,,,,6.0,1.0,
olo_kkpp-ud-test,106,0,11,,,,,,,,,,,,,,,1.0,,,9,,1.0,,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,,1.0,,,1,,,,,,
vep_vwt-ud-test,103,0,14,,,,,,,,,,,,,,,2.0,1.0,2.0,9,,,,,,
fi_tdt-ud-train,12217,0,1054,,3.0,19.0,2.0,1.0,7.0,10.0,,,,2.0,,1.0,,10.0,86.0,33.0,801,51.0,,1.0,25.0,1.0,1.0
fi_tdt-ud-test,1555,0,153,,,1.0,,2.0,,,,,,,,1.0,,2.0,6.0,7.0,129,1.0,1.0,,3.0,,
fi_tdt-ud-dev,1364,0,115,,,1.0,,,,4.0,,,,,,,,,6.0,5.0,91,3.0,1.0,,4.0,,
ru_taiga-ud-train,16045,0,1,,,,,,,,,,,,,,,,,,1,,,,,,
fi_pud-ud-test,1000,0,92,,,,,,,1.0,,,,,,,,1.0,9.0,4.0,69,6.0,,,2.0,,
et_edt-ud-dev,3128,0,321,,,2.0,,,,2.0,,1.0,,,,,,3.0,15.0,15.0,265,13.0,,3.0,2.0,,
et_edt-ud-train,24615,0,2592,2.0,2.0,8.0,,10.0,1.0,10.0,,,,,,,,59.0,152.0,95.0,2023,169.0,4.0,4.0,53.0,,
et_edt-ud-test,3214,0,354,1.0,,3.0,,5.0,,,,,,,,,,3.0,19.0,11.0,282,22.0,,1.0,7.0,,
krl_kkpp-ud-test,228,0,33,,1.0,,,,,,,,,,,1.0,,4.0,,1.0,24,1.0,,1.0,,,
fi_ftb-ud-dev,1875,0,171,1.0,,4.0,,,,,,,1.0,,4.0,3.0,1.0,19.0,17.0,3.0,113,,,,4.0,1.0,
fi_ftb-ud-train,14981,0,1254,2.0,,21.0,,,,5.0,,,3.0,,54.0,17.0,3.0,125.0,120.0,11.0,844,,,,38.0,11.0,
fi_ftb-ud-test,1867,0,172,1.0,,1.0,,,,,,,,,3.0,2.0,,12.0,12.0,2.0,132,,,,6.0,1.0,
