Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advmod,amod,appos,cc,ccomp,ccomp:cleft,ccomp:pred,compound,compound:lvc,csubj,dep,det:poss,discourse,dislocated,fixed,flat,flat:name,flat:sibl,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:obl,nmod:poss,nmod:pred,nsubj,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:float,obl:grad,obl:instr,obl:manner,obl:path,obl:soc,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,20.0,,,,,,,,,,,1.0,,,,,,,
sl_ssj-ud-dev,1250,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,21.0,,,,,,,,,,,1.0,,,,,,,
sl_ssj-ud-train,10903,0,236,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,47.0,,,,,,,,176.0,,,,,,,,,,,10.0,,,,,,1.0,
xcl_caval-ud-train,3185,0,51,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,,,,37.0,,,,,,,,,,,,,,,,2.0,,
xcl_caval-ud-dev,411,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,18.0,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,15.0,,,,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,27,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,24.0,,,,,,,,,,,,,,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,18.0,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,69,,,,,,,,,,1.0,,,,,,,,,,6.0,,,,11.0,,,4.0,,2.0,,,,,1.0,19.0,,22.0,,,,,,,,,,,,,,2.0,,1.0
pl_pdb-ud-train,17722,0,554,,1.0,4.0,1.0,,,,,,6.0,,,,,2.0,,,,,92.0,,,,60.0,,,22.0,,11.0,,,1.0,,8.0,134.0,,183.0,,5.0,,,,,,,1.0,,,1.0,,18.0,3.0,1.0
pl_pdb-ud-dev,2215,0,80,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,4.0,,,2.0,,2.0,,,,,2.0,29.0,,27.0,,,,,,,,,,,,2.0,,1.0,2.0,1.0
uk_iu-ud-dev,673,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,,,,,,,,,,,,1.0,,,1.0,,1.0
uk_iu-ud-train,5521,0,209,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,14.0,,,,,,,1.0,172.0,,,,,,,,,,,4.0,5.0,1.0,,,4.0,,3.0
uk_iu-ud-test,898,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,21.0,,,,,,,,,,,,,2.0,,,1.0,,
sa_vedic-ud-test,2709,0,89,,,,,,,,,,1.0,,,,,,,,,,,5.0,,,1.0,,,,,,,,,1.0,,30.0,3.0,,,,,,27.0,1.0,4.0,13.0,3.0,,,,,,,
sa_vedic-ud-train,21477,0,677,,5.0,,,7.0,,11.0,,,6.0,,,,,1.0,,,,,,54.0,,,2.0,,,1.0,1.0,,,,,1.0,,203.0,36.0,,1.0,,,2.0,253.0,1.0,4.0,35.0,39.0,4.0,,,,10.0,,
sa_vedic-ud-dev,2996,0,121,,,,,3.0,,2.0,,,2.0,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,33.0,4.0,,,,,1.0,59.0,,4.0,4.0,5.0,,,,,,,
hr_set-ud-dev,960,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,
hr_set-ud-train,6914,0,83,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,5.0,,,,,,,5.0,66.0,,,,,,,,,,,,,,,,4.0,,
hr_set-ud-test,1136,0,11,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,,,
orv_rnc-ud-dev,943,0,60,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,6.0,,,,,,,,40.0,,,,,1.0,,,,,,9.0,,,,,1.0,,
orv_rnc-ud-train,1868,0,124,,,3.0,,,,,1.0,,,,,,,2.0,,,,,,,,,24.0,,,14.0,,,,,,,1.0,69.0,4.0,,,,,,,,,,1.0,3.0,,,,1.0,1.0,
orv_rnc-ud-test,717,0,85,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,29.0,,,,,,,1.0,45.0,,,,,,,,,,,,,,,,2.0,,
sk_snk-ud-dev,1060,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,
sk_snk-ud-test,1061,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,
sk_snk-ud-train,8483,0,169,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,10.0,,,,,,,,105.0,,43.0,,,,,,,,,2.0,1.0,,,,3.0,,
lt_hse-ud-train,153,0,7,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
lt_hse-ud-dev,55,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,411,,4.0,6.0,2.0,,5.0,,,,1.0,,,,,,,,,,,,,,56.0,,1.0,24.0,,,,,,,31.0,250.0,10.0,,,,,,,,,,,3.0,,,,10.0,8.0,
be_hse-ud-dev,1301,0,22,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,14.0,1.0,,,,,,,,,,,1.0,,,,1.0,,
be_hse-ud-test,1077,0,22,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,14.0,1.0,,,,,,,,,,,,,,,1.0,,
cs_pud-ud-test,1000,0,20,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,8.0,1.0,2.0,,,,,,,,,,,,,,2.0,,
orv_ruthenian-ud-test,390,0,32,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,1.0,23.0,,,,,,,,,,,,,,,,1.0,,
orv_ruthenian-ud-train,2789,0,414,,,,,,,,,,1.0,,,,,,,,,,,,,,24.0,,,24.0,,,,,,1.0,3.0,352.0,1.0,,,,,,,,,,1.0,,,,,7.0,,
orv_ruthenian-ud-dev,344,0,23,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,4.0,,,,,,,,10.0,,,,,,,,,,,,,,,,3.0,,
mr_ufal-ud-train,373,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
lt_alksnis-ud-test,684,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,12.0,,,,,,,,,,,,,,,,
lt_alksnis-ud-dev,617,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,
lt_alksnis-ud-train,2341,0,87,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,46.0,,,,,,,,,,,,,,,,
cu_proiel-ud-train,18327,0,571,,13.0,,44.0,,,,3.0,,,,,,,,,,,1.0,7.0,,,,,,,4.0,,,,,,1.0,2.0,361.0,47.0,28.0,,,,,,,,,11.0,2.0,,,,38.0,9.0,
cu_proiel-ud-test,2096,0,94,,2.0,,3.0,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,69.0,5.0,3.0,,,,,,,,,3.0,,,,,3.0,1.0,
cu_proiel-ud-dev,2205,0,86,,4.0,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,52.0,6.0,3.0,,,,,,,,,4.0,,,,,4.0,3.0,
hy_bsut-ud-train,1226,0,11,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,3,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
hsb_ufal-ud-test,623,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
sr_set-ud-test,520,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
sr_set-ud-train,3328,0,23,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,18.0,,,,,,,,,,,,,,,,2.0,,
sr_set-ud-dev,536,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kpv_ikdp-ud-test,214,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,
kpv_lattice-ud-test,643,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,
tr_gb-ud-test,2880,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
ru_taiga-ud-train,16045,0,426,,1.0,1.0,,,6.0,,,1.0,2.0,,,,,,,,,,5.0,,,,77.0,,2.0,21.0,,,,,,,7.0,271.0,8.0,,,,,,,,,,1.0,10.0,,,,10.0,3.0,
ru_taiga-ud-dev,946,0,20,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,1.0,13.0,,,,,,,,,,,,1.0,,,,,,
ru_taiga-ud-test,881,0,28,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,9.0,,,1.0,,,,,,,,9.0,3.0,,,,,,,,,,,,,,,3.0,,
cs_cltt-ud-dev,316,0,5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,6,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cltt-ud-test,338,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,1.0,,
hy_armtdp-ud-dev,249,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
