Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,amod,appos,ccomp,compound:preverb,expl,nmod,nmod:obl,obj,obl,obl:lmod,orphan,reparandum,root
hu_szeged-ud-dev,441,0,2,,,,,,1.0,,,,,1.0,,,,
hu_szeged-ud-test,449,0,2,,,,,,1.0,,,1.0,,,,,,
hu_szeged-ud-train,910,0,6,,,,,,2.0,,,,,4.0,,,,
fi_ood-ud-test,2122,0,20,,,,,,,,,,,19.0,,1.0,,
sms_giellagas-ud-test,230,0,6,,,,,,,,,,,4.0,,,1.0,1.0
et_ewt-ud-train,5444,0,11,,,,,,,,,,,11.0,,,,
et_ewt-ud-test,913,0,5,,,,,,,,,,,4.0,,1.0,,
mdf_jr-ud-test,454,0,1,,,,,,,,,,,,1.0,,,
vep_vwt-ud-test,103,0,2,,,,,,,,2.0,,,,,,,
fi_tdt-ud-train,12217,0,280,1.0,,1.0,1.0,,,,26.0,,,249.0,,,,2.0
fi_tdt-ud-test,1555,0,36,,,,,1.0,,,5.0,,,30.0,,,,
fi_tdt-ud-dev,1364,0,28,,,,,,,,2.0,,,26.0,,,,
myv_jr-ud-test,921,0,4,,1.0,,,,,,,,,3.0,,,,
myv_jr-ud-train,1217,0,1,,,,,,,,,,,1.0,,,,
kpv_lattice-ud-test,643,0,2,,,,,,,,,,1.0,1.0,,,,
fi_pud-ud-test,1000,0,20,,,,,,,,2.0,,,18.0,,,,
et_edt-ud-dev,3128,0,7,,,,,,,,3.0,,,4.0,,,,
et_edt-ud-train,24615,0,33,,,,,,,,3.0,,,29.0,,,,1.0
et_edt-ud-test,3214,0,1,,,,,,,,,,,1.0,,,,
sme_giella-ud-train,2257,0,104,,,9.0,,,,,,,,95.0,,,,
sme_giella-ud-test,865,0,63,,,7.0,,,,,1.0,,,55.0,,,,
krl_kkpp-ud-test,228,0,12,,,,,,,,2.0,,,10.0,,,,
fi_ftb-ud-dev,1875,0,19,,,,,,,3.0,16.0,,,,,,,
fi_ftb-ud-train,14981,0,197,,1.0,,,,,20.0,173.0,,,,,,,3.0
fi_ftb-ud-test,1867,0,24,,,,,,,2.0,22.0,,,,,,,
