Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:ccomp,advcl:cmp,advcl:pred,advcl:relcl,advmod,amod,appos,ccomp,ccomp:relcl,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,dislocated,expl,fixed,flat,iobj,mark,nmod,nmod:comp,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:goal,obl:grad,obl:lmod,obl:mod,obl:path,obl:source,obl:tmod,orphan,parataxis,reparandum,root,xcomp
xcl_caval-ud-train,3185,0,235,,,,,,,,,,,,7.0,,,,,,,,,,,,,,60.0,,,,,,,,,158.0,9.0,,,,,,,,,,1.0,,,,
xcl_caval-ud-dev,411,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,28.0,3.0,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,45,,,1.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,30.0,3.0,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,
hu_szeged-ud-train,910,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,1.0,
sa_vedic-ud-test,2709,0,32,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,11.0,,,,,2.0,,,,11.0,1.0,1.0,,,1.0,
sa_vedic-ud-train,21477,0,192,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,15.0,,,4.0,,,,,,,,,38.0,1.0,,,1.0,18.0,,,1.0,106.0,,1.0,,,3.0,
sa_vedic-ud-dev,2996,0,25,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,6.0,,,,1.0,6.0,,,,10.0,,,,,,
la_circse-ud-test,1263,0,35,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,13.0,2.0,3.0,,,,9.0,,,,2.0,,,,,
la_perseus-ud-test,939,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,1.0,15.0,,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,52,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,1.0,45.0,,,,,,,,,,,,,,,
hit_hittb-ud-test,136,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,
et_ewt-ud-train,5444,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,15.0,,,,,,,,,,,,,,,
et_ewt-ud-test,913,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
et_ewt-ud-dev,833,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,25.0,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,13.0,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,
la_llct-ud-dev,850,0,239,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,158.0,,,63.0,,17.0,,,,,,,,,,,,,
la_llct-ud-test,884,0,268,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,206.0,,,29.0,,32.0,,,,,,,,,,,,,
