Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,ccomp,compound:preverb,csubj,expl,fixed,nmod,nmod:obl,nsubj,obj,obl,orphan,parataxis,root
hu_szeged-ud-dev,441,0,14,,,,,,4.0,,,,,1.0,,,9.0,,,
hu_szeged-ud-test,449,0,3,,,,,,,,,,,,,,3.0,,,
hu_szeged-ud-train,910,0,14,,,,,,2.0,,,,,1.0,,,11.0,,,
fi_ood-ud-test,2122,0,32,,,,,,,,,,,,,,31.0,1.0,,
ess_sli-ud-test,309,0,2,,,,,,,,,,,,1.0,,1.0,,,
et_ewt-ud-train,5444,0,222,1.0,,1.0,,,,,,1.0,8.0,,,,209.0,,,2.0
et_ewt-ud-test,913,0,42,,,,,,,,,,1.0,,,,41.0,,,
et_ewt-ud-dev,833,0,62,,,1.0,,,,,,,3.0,,,,56.0,,,2.0
olo_kkpp-ud-test,106,0,1,,,,,,,,,,,,,,1.0,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,1.0,,,1.0
vep_vwt-ud-test,103,0,11,,,1.0,,,,,,,,,,,10.0,,,
fi_tdt-ud-train,12217,0,238,,1.0,,,,,,,,33.0,,,1.0,198.0,,,5.0
fi_tdt-ud-test,1555,0,33,,,1.0,,,,,,,7.0,,,,25.0,,,
fi_tdt-ud-dev,1364,0,35,,,,,,,,,,6.0,,,,28.0,,,1.0
fi_pud-ud-test,1000,0,15,,,,,,,,,,1.0,,,,14.0,,,
et_edt-ud-dev,3128,0,148,,,,1.0,,,,,,2.0,,,,142.0,1.0,1.0,1.0
et_edt-ud-train,24615,0,900,,1.0,,1.0,1.0,,1.0,,,37.0,,,,849.0,,3.0,7.0
et_edt-ud-test,3214,0,120,,,,1.0,,,,,,7.0,,,,109.0,,1.0,2.0
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,1.0,,,
arr_tudet-ud-test,674,0,1,,,,,,,,,,,,,,1.0,,,
eu_bdt-ud-dev,1798,0,1,,,,,,,,,,,,,,1.0,,,
fi_ftb-ud-dev,1875,0,37,,,,,,,,,,36.0,,,,,,,1.0
fi_ftb-ud-train,14981,0,333,,,,,,,,6.0,2.0,321.0,,3.0,1.0,,,,
fi_ftb-ud-test,1867,0,42,,,,,,,,,,42.0,,,,,,,
aqz_tudet-ud-test,343,0,6,,,,,,,,,,1.0,,4.0,,1.0,,,
