Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,amod,appos,ccomp,csubj,dep,expl,fixed,mark,nmod,nmod:obl,nmod:poss,nsubj,nsubj:cop,obj,obl,obl:cmp,obl:lmod,orphan,parataxis,root
hu_szeged-ud-dev,441,0,5,,,,,,,,,,,,,,,,,5.0,,,,,
hu_szeged-ud-test,449,0,1,,,,,,,,,,,,,,,,,1.0,,,,,
hu_szeged-ud-train,910,0,9,,,,,,,,,,,,2.0,,,,,7.0,,,,,
fi_ood-ud-test,2122,0,47,,,,,,,,,,,7.0,,,,,,33.0,,,5.0,1.0,1.0
et_ewt-ud-train,5444,0,123,,1.0,2.0,,2.0,1.0,,,,,25.0,,,,,,82.0,,,,,10.0
et_ewt-ud-test,913,0,32,,,,,,,,,,,2.0,,,,,,29.0,,,,,1.0
et_ewt-ud-dev,833,0,28,,,,,1.0,,,,,,4.0,,,,,,21.0,,,,,2.0
vep_vwt-ud-test,103,0,1,,,,,,,,,,,,,,,,,,,,,,1.0
fi_tdt-ud-train,12217,0,524,1.0,,,,4.0,,,,1.0,,134.0,,,,,,375.0,,,2.0,,7.0
fi_tdt-ud-test,1555,0,84,,,,,,,,,,,21.0,,,,,,59.0,,,,,4.0
fi_tdt-ud-dev,1364,0,65,,,,,2.0,,,,,,12.0,,,,,,48.0,,,,,3.0
myv_jr-ud-test,921,0,1,,,,,,,,,,,,,,,,,1.0,,,,,
kpv_ikdp-ud-test,214,0,4,,,,,,,,,,,,,2.0,,,,2.0,,,,,
kpv_lattice-ud-test,643,0,14,,,,,,,,,,,1.0,,3.0,,,,6.0,3.0,1.0,,,
fi_pud-ud-test,1000,0,38,1.0,,,,,,,,,,10.0,,,,,,27.0,,,,,
et_edt-ud-dev,3128,0,74,,,,,1.0,,,,,,17.0,,,,,,56.0,,,,,
et_edt-ud-train,24615,0,592,1.0,4.0,2.0,,1.0,,,,,,108.0,,,,,,464.0,,,3.0,1.0,8.0
et_edt-ud-test,3214,0,76,,,,,1.0,,,,,,10.0,,,,,,64.0,,,,,1.0
krl_kkpp-ud-test,228,0,16,,,,1.0,,,,,,,1.0,,,1.0,,1.0,12.0,,,,,
fi_ftb-ud-dev,1875,0,59,,,,,,,,9.0,,,38.0,,,11.0,1.0,,,,,,,
fi_ftb-ud-train,14981,0,469,,3.0,,,,,1.0,73.0,4.0,2.0,330.0,,,44.0,5.0,4.0,,,,,,3.0
fi_ftb-ud-test,1867,0,50,,,,,,,,9.0,,,36.0,,,5.0,,,,,,,,
