Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:tcl,advmod,advmod:lmod,advmod:tmod,amod,appos,aux,aux:neg,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,cop,csubj,dep,dep:comp,dep:conj,dep:infl,det,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:instr,obl:lmod,obl:own,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds
sl_ssj-ud-test,1282,0,27,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,27,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,198,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,1.0,,25.0,,,,,,,,,,,,157.0,,,,,,,,,,3.0,,,,,,,,,
xcl_caval-ud-train,3185,0,294,9.0,,12.0,,,,,,,,,,,,,,,15.0,,,,,19.0,,2.0,,,,,,,,,,,,,,,1.0,,,10.0,,,,,,,,,,,,207.0,,,,,,,,,,6.0,,,,,,10.0,,3.0,
xcl_caval-ud-dev,411,0,28,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,20.0,,,,,,,,,,1.0,,,,,,,,,
xcl_caval-ud-test,550,0,25,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,1.0,,,,,,,,,
hu_szeged-ud-train,910,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,10,,,2.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,21,,,5.0,,,,,,12.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,131,,,24.0,,,,,,79.0,,,10.0,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,5.0,,,,,,,,,,,,,,,,1.0,,,
