Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,discourse,flat,nmod,nsubj,obj,obl,root,xcomp
tr_pud-ud-test,1000,0,19,,,,1.0,,,1.0,,,16.0,,1.0
tr_kenet-ud-dev,1646,0,9,,1.0,,,,,1.0,,,7.0,,
tr_kenet-ud-test,1643,0,8,,2.0,1.0,,,,,,,5.0,,
tr_kenet-ud-train,15398,0,43,,9.0,,,,,7.0,1.0,,26.0,,
tr_framenet-ud-train,2288,0,4,,2.0,,,,,1.0,,,1.0,,
tr_gb-ud-test,2880,0,10,,5.0,,,,,1.0,,,3.0,1.0,
ota_boun-ud-train,114,0,4,,,,,,,,,,4.0,,
ota_boun-ud-test,400,0,2,,,,,,,,,,2.0,,
ota_dudu-ud-test,85,0,1,,,,,,,1.0,,,,,
qtd_sagt-ud-test,805,0,3,,,,,,,,,,3.0,,
qtd_sagt-ud-dev,801,0,2,,,,,,,1.0,,,1.0,,
qtd_sagt-ud-train,578,0,6,,1.0,,,,,,,,5.0,,
tr_tourism-ud-train,15473,0,345,1.0,50.0,,,,,230.0,,1.0,54.0,9.0,
tr_tourism-ud-dev,2166,0,48,,41.0,,,,,2.0,,,4.0,1.0,
tr_tourism-ud-test,2191,0,67,,38.0,,,,,2.0,,,26.0,1.0,
tr_imst-ud-train,3435,0,34,2.0,4.0,2.0,,,,6.0,,,19.0,1.0,
tr_imst-ud-dev,1100,0,9,,1.0,,,,,2.0,,,6.0,,
tr_imst-ud-test,1100,0,4,,,,,,,1.0,,,3.0,,
tr_boun-ud-dev,979,0,10,,2.0,,,,,,,,7.0,1.0,
tr_boun-ud-test,979,0,14,,1.0,,,,,,,,12.0,1.0,
tr_boun-ud-train,7803,0,96,,6.0,10.0,1.0,,,3.0,,,76.0,,
tr_penn-ud-dev,622,0,7,,2.0,,,,,,,,5.0,,
tr_penn-ud-test,924,0,16,,1.0,,,,2.0,5.0,,,7.0,1.0,
tr_penn-ud-train,14850,0,169,,10.0,2.0,,1.0,3.0,73.0,,,79.0,1.0,
