Treebank,Number of Sentences,Failures,Total,advcl,advmod,nmod,nsubj,obl,orphan,parataxis,root
ru_taiga-ud-train,16045,0,13,,,2.0,,11.0,,,
ru_taiga-ud-dev,946,0,1,,,,,1.0,,,
ru_taiga-ud-test,881,0,2,,,,,2.0,,,
ru_syntagrus-ud-train,69630,0,152,1.0,1.0,19.0,2.0,118.0,,2.0,9.0
ru_syntagrus-ud-dev,8906,0,15,,,1.0,,8.0,,1.0,5.0
ru_syntagrus-ud-test,8800,0,19,1.0,,2.0,,13.0,1.0,1.0,1.0
ru_poetry-ud-train,3569,0,1,,,,,1.0,,,
ru_pud-ud-test,1000,0,3,,,,,3.0,,,
ru_gsd-ud-dev,579,0,1,,,,,1.0,,,
ru_gsd-ud-train,3850,0,8,,,3.0,,5.0,,,
bg_btb-ud-train,8907,0,19,8.0,,,,11.0,,,
bg_btb-ud-test,1116,0,2,2.0,,,,,,,
bg_btb-ud-dev,1115,0,2,1.0,,,,1.0,,,
