Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,csubj,dep,expl,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,33,,,3.0,,,,,1.0,,,,14.0,,,,15.0,,,,,
es_gsd-ud-dev,1400,0,138,,,6.0,1.0,,1.0,,,,,,46.0,,,,84.0,,,,,
es_gsd-ud-train,14187,0,1417,,2.0,42.0,,,,,,,,,512.0,1.0,2.0,,851.0,,3.0,,4.0,
pt_porttinari-ud-train,5893,0,307,,6.0,7.0,1.0,,,2.0,,,,1.0,130.0,,,,154.0,,2.0,,4.0,
pt_porttinari-ud-test,1683,0,80,,1.0,,1.0,,,,,,,,33.0,,,,42.0,,,,3.0,
pt_porttinari-ud-dev,842,0,37,,1.0,1.0,,,,,,,,,18.0,,,,17.0,,,,,
es_ancora-ud-train,14287,0,28,1.0,,3.0,2.0,,,,,,,,12.0,1.0,,,8.0,,,1.0,,
es_ancora-ud-test,1721,0,13,1.0,,2.0,,,,,,,,,6.0,,,,4.0,,,,,
es_ancora-ud-dev,1654,0,14,1.0,1.0,,1.0,,,,,,1.0,,4.0,,,,5.0,,,,1.0,
pt_pud-ud-test,1000,0,108,,,,,,9.0,,,,,2.0,33.0,,,,58.0,,,,2.0,4.0
pt_petrogold-ud-train,7170,0,775,,,174.0,1.0,2.0,49.0,2.0,,,,11.0,145.0,2.0,,,48.0,1.0,1.0,,2.0,337.0
pt_petrogold-ud-test,1039,0,74,,,6.0,,,12.0,2.0,,,,3.0,8.0,,,,3.0,,,,1.0,39.0
pt_petrogold-ud-dev,737,0,113,,,13.0,,,21.0,2.0,,,,,29.0,,,,4.0,1.0,,,1.0,42.0
pt_gsd-ud-dev,1204,0,64,,,,,,,,,,,,62.0,,,,,,,,1.0,1.0
pt_gsd-ud-test,1200,0,79,,,,1.0,,1.0,,,,,1.0,72.0,,,,2.0,,,,,2.0
pt_gsd-ud-train,9616,0,487,,,,1.0,1.0,5.0,,,,,1.0,432.0,,,,14.0,,,,,33.0
es_pud-ud-test,1000,0,114,,,,,,5.0,,,,,,37.0,,,,70.0,1.0,,,,1.0
pt_cintil-ud-test,3840,0,106,,,1.0,4.0,,,4.0,,23.0,,,,2.0,,2.0,53.0,,,,16.0,1.0
pt_bosque-ud-dev,1172,0,46,,,,1.0,,1.0,,,,,,17.0,,,,15.0,,,,,12.0
pt_bosque-ud-test,1167,0,49,,,,,,,,,,,,25.0,,,,2.0,,2.0,,,20.0
pt_bosque-ud-train,7018,0,299,,,,1.0,,1.0,,,,,2.0,89.0,,,1.0,86.0,,8.0,,,111.0
nhi_itml-ud-test,909,0,1,,,,,,,,,,,,,,,,1.0,,,,,
gl_pud-ud-test,1000,0,101,,,1.0,,3.0,,,,,,2.0,39.0,,,,53.0,1.0,,,1.0,1.0
