Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
is_pud-ud-test,1000,0,96,3.0,,,,2.0,,,,,,,56.0,,,,34.0,,,,1.0
af_afribooms-ud-train,1315,0,5,,,,,,,,,,,,1.0,,,,4.0,,,,
af_afribooms-ud-dev,194,0,1,,,,,,,,,,,,1.0,,,,,,,,
af_afribooms-ud-test,425,0,4,,,,,,,,,,,,3.0,,,,1.0,,,,
nds_lsdc-ud-train,500,0,7,,1.0,,,1.0,,,,,,,1.0,,,,2.0,,,2.0,
nds_lsdc-ud-test,500,0,10,,,1.0,,2.0,,,,,,,1.0,,,,2.0,,,4.0,
is_gc-ud-test,540,0,55,,,,,,,,,,,,,,,,55.0,,,,
is_gc-ud-train,3960,0,366,,6.0,,,,,,,,,,,,,,358.0,,,2.0,
is_gc-ud-dev,500,0,65,,2.0,,,,,,,,,,,,,,63.0,,,,
nl_lassysmall-ud-test,1761,0,8,,,,,,,,,,,,,,,,,,,7.0,1.0
nl_lassysmall-ud-dev,1542,0,11,1.0,,,,1.0,,,,,,,,,,,,,,8.0,1.0
nl_lassysmall-ud-train,13817,0,125,6.0,13.0,,1.0,4.0,,2.0,,,,1.0,1.0,,,,5.0,,7.0,68.0,17.0
is_icepahc-ud-dev,4865,0,1014,34.0,24.0,1.0,,23.0,,,,,,,,,,,907.0,,,22.0,3.0
is_icepahc-ud-train,34007,0,5011,113.0,81.0,4.0,1.0,87.0,1.0,,4.0,,,,,1.0,,3.0,4534.0,,4.0,173.0,5.0
is_icepahc-ud-test,5157,0,1162,33.0,25.0,1.0,,12.0,1.0,,2.0,,,,,,,1.0,1054.0,,2.0,30.0,1.0
is_modern-ud-dev,394,0,54,,,,,,,,,,,,,,,,49.0,,1.0,4.0,
is_modern-ud-train,2703,0,292,8.0,2.0,,,1.0,,,,,,,,,,1.0,265.0,,1.0,12.0,2.0
is_modern-ud-test,438,0,48,1.0,1.0,,,,,,,,,,,,,,44.0,,,2.0,
da_ddt-ud-train,4383,0,979,9.0,27.0,13.0,,2.0,,,,,,,608.0,,5.0,5.0,304.0,,,6.0,
da_ddt-ud-test,565,0,130,3.0,4.0,,,,,,,,,,79.0,,1.0,1.0,40.0,,,2.0,
da_ddt-ud-dev,564,0,127,,4.0,,,,,,,,,,76.0,,,,47.0,,,,
got_proiel-ud-dev,985,0,30,,,,1.0,,,,,,,,1.0,,,,28.0,,,,
got_proiel-ud-train,3387,0,64,,1.0,2.0,,,,,,,,,6.0,,,,55.0,,,,
got_proiel-ud-test,1029,0,30,,,,,,,,,1.0,1.0,,,1.0,,1.0,23.0,3.0,,,
nl_alpino-ud-train,12289,0,105,4.0,7.0,,1.0,7.0,1.0,,,,,1.0,,,,,13.0,,2.0,59.0,10.0
nl_alpino-ud-test,596,0,2,,,,,,,,,,,,,,,,,,,1.0,1.0
nl_alpino-ud-dev,718,0,11,,,,,,,,,,,,,,,,,,1.0,9.0,1.0
