Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,mark,nmod,nsubj,obj,obl,parataxis,root,xcomp
zh_gsdsimp-ud-test,500,0,87,,,,,2.0,,,,5,1.0,2.0,70,,,7.0
zh_gsdsimp-ud-train,3997,0,880,1.0,3.0,1.0,,53.0,1.0,,,53,4.0,12.0,693,1.0,5.0,53.0
zh_gsdsimp-ud-dev,500,0,90,,,,,5.0,,,,3,2.0,1.0,72,,,7.0
zh_beginner-ud-test,2295,0,88,,,,,1.0,,,,1,,,72,,14.0,
zh_gsd-ud-dev,500,0,90,,,,,5.0,,,,3,2.0,1.0,72,,,7.0
zh_gsd-ud-test,500,0,87,,,,2.0,2.0,,,,5,1.0,2.0,68,,,7.0
zh_gsd-ud-train,3997,0,880,1.0,3.0,1.0,8.0,53.0,1.0,,,53,4.0,12.0,685,1.0,5.0,53.0
zh_pud-ud-test,1000,0,272,,1.0,,,1.0,1.0,1.0,1.0,8,3.0,6.0,215,,1.0,34.0
zh_hk-ud-test,1004,0,67,,7.0,,,1.0,,,,4,1.0,2.0,50,,2.0,
zh_cfl-ud-test,451,0,76,2.0,1.0,,,,,,,6,1.0,,65,,1.0,
