Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dep,nmod,obj,obl,parataxis,root
gun_dooley-ud-test,1046,0,3,,,,1.0,1.0,,,1.0,,
gun_thomas-ud-test,98,0,9,1.0,,,,,,,8.0,,
it_pud-ud-test,1000,0,0,,,,,,,,,,
pt_cintil-ud-test,3840,0,1,,,1.0,,,,,,,
pt_cintil-ud-train,30720,0,3,,,3.0,,,,,,,
br_keb-ud-test,884,0,238,1.0,1.0,,,,36.0,,178.0,1.0,21.0
pt_bosque-ud-train,7018,0,2,,,,,,2.0,,,,
la_udante-ud-train,926,0,9,,,,,,1.0,,8.0,,
la_udante-ud-test,419,0,2,,,,,,,,2.0,,
la_udante-ud-dev,376,0,0,,,,,,,,,,
it_markit-ud-test,340,0,0,,,,,,,,,,
gl_pud-ud-test,1000,0,1,,,,,,1.0,,,,
xum_ikuvina-ud-test,133,0,12,,,,,,,1.0,10.0,,1.0
it_vit-ud-train,8277,0,0,,,,,,,,,,
tr_boun-ud-train,7803,0,1,,,,,,,1.0,,,
