Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,csubj,dep,dislocated,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,vocative,xcomp
orv_rnc-ud-dev,943,0,120,,,,2.0,,,,,1.0,2,,,115,,,,,
orv_rnc-ud-train,1868,0,397,3.0,,1.0,38.0,,,,,1.0,45,,,297,11.0,,1.0,,
orv_rnc-ud-test,717,0,212,,,,11.0,,,,,,11,2.0,,179,4.0,,4.0,1.0,
orv_ruthenian-ud-test,390,0,56,,,,,,,,,,2,,,49,2.0,,3.0,,
orv_ruthenian-ud-train,2789,0,390,,,,11.0,,,,,2.0,23,1.0,,338,3.0,,10.0,,2.0
orv_ruthenian-ud-dev,344,0,68,,,,3.0,,,,,,1,,,62,,,2.0,,
cu_proiel-ud-train,18327,0,1077,5.0,4.0,1.0,16.0,,,1.0,,,24,,1.0,1002,20.0,,3.0,,
cu_proiel-ud-test,2096,0,132,2.0,,1.0,1.0,,,,,,5,,,121,1.0,,1.0,,
cu_proiel-ud-dev,2205,0,150,2.0,1.0,,3.0,,,,,,2,,,140,1.0,,,,1.0
orv_birchbark-ud-train,1045,0,147,,,,5.0,,2.0,,,,48,,,22,1.0,,69.0,,
orv_birchbark-ud-dev,1062,0,157,,,,5.0,,2.0,,1.0,,47,7.0,1.0,36,2.0,,56.0,,
orv_birchbark-ud-test,1007,0,183,,,,9.0,,,,3.0,,67,,,36,3.0,,65.0,,
orv_torot-ud-test,2955,0,209,2.0,,,7.0,,,,,,9,,,187,3.0,,1.0,,
orv_torot-ud-dev,3061,0,274,,,,10.0,,,1.0,2.0,,10,,,240,7.0,1.0,3.0,,
orv_torot-ud-train,20480,0,1605,14.0,4.0,2.0,59.0,1.0,,2.0,25.0,,75,,1.0,1364,48.0,,7.0,,3.0
