Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,csubj,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
la_circse-ud-test,1263,0,2,,,,,,,,,2,,,,
la_perseus-ud-test,939,0,2,,,,,,,,,2,,,,
la_perseus-ud-train,1334,0,1,,,,,,,,,1,,,,
la_llct-ud-dev,850,0,6,,,,,,,,,6,,,,
la_llct-ud-test,884,0,3,,,,,,,,,3,,,,
la_llct-ud-train,7289,0,104,,2.0,,,,2.0,,,99,,,1.0,
la_proiel-ud-test,1260,0,8,,,,1.0,,,,,7,,,,
la_proiel-ud-dev,1233,0,5,,,,,,,,,5,,,,
la_proiel-ud-train,16196,0,148,3.0,4.0,1.0,1.0,,9.0,2.0,1.0,118,5.0,,4.0,
la_udante-ud-train,926,0,53,,2.0,1.0,,,1.0,,,48,1.0,,,
la_udante-ud-test,419,0,28,,,,,,,,,27,1.0,,,
la_udante-ud-dev,376,0,5,,,,,,,,,5,,,,
la_ittb-ud-dev,2101,0,180,2.0,5.0,2.0,,1.0,6.0,,,157,,,7.0,
la_ittb-ud-test,2101,0,226,3.0,4.0,7.0,1.0,,5.0,,,191,3.0,,12.0,
la_ittb-ud-train,22775,0,2466,43.0,91.0,22.0,6.0,25.0,72.0,1.0,,2069,23.0,1.0,110.0,3.0
