Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,nmod,nsubj,obl,orphan,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,1,,,,,,,,,1,,,,
no_bokmaal-ud-test,1939,0,1,,,,,,,,,1,,,,
no_bokmaal-ud-train,15696,0,26,,2.0,2.0,,1.0,,5.0,,14,,,,2.0
no_nynorsk-ud-dev,1890,0,1,,,,,,,,,1,,,,
no_nynorsk-ud-test,1511,0,12,,4.0,1.0,,,,,,6,,,1.0,
no_nynorsk-ud-train,14174,0,62,1.0,6.0,5.0,,,,1.0,,48,,,1.0,
is_icepahc-ud-dev,4865,0,143,22.0,23.0,,,10.0,3.0,,,51,,,33.0,1.0
is_icepahc-ud-train,34007,0,799,110.0,70.0,13.0,,78.0,,,1.0,256,,2.0,265.0,4.0
is_icepahc-ud-test,5157,0,137,30.0,15.0,3.0,,13.0,1.0,,,24,,,47.0,4.0
is_modern-ud-dev,394,0,23,5.0,1.0,8.0,,4.0,,,,2,,,2.0,1.0
is_modern-ud-train,2703,0,160,41.0,11.0,24.0,,19.0,,,,42,,1.0,19.0,3.0
is_modern-ud-test,438,0,27,6.0,2.0,3.0,,,,,,9,,,6.0,1.0
got_proiel-ud-dev,985,0,26,,1.0,1.0,,,,2.0,,19,2.0,,1.0,
got_proiel-ud-train,3387,0,117,,,3.0,1.0,,,4.0,1.0,92,10.0,,,6.0
got_proiel-ud-test,1029,0,20,,,2.0,,,,1.0,,17,,,,
