Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,cc,ccomp,compound,csubj,dislocated,nmod,nsubj,nummod,obj,obl,parataxis,reparandum,root,vocative,xcomp
ga_twittirish-ud-dev,864,0,325,17.0,2.0,,,1.0,1.0,3.0,,52.0,1.0,,3.0,135.0,29.0,,39.0,,42.0
ga_twittirish-ud-test,866,0,288,,3.0,,,2.0,,3.0,,61.0,2.0,,1.0,99.0,37.0,,46.0,,34.0
ga_twittirish-ud-train,866,0,297,12.0,8.0,,,5.0,,5.0,,41.0,3.0,,1.0,119.0,34.0,,33.0,1.0,35.0
fr_parisstories-ud-train,1387,0,1,,,,,,,,,,,,,1.0,,,,,
ga_idt-ud-train,4005,0,1807,52.0,45.0,8.0,1.0,18.0,,18.0,,268.0,4.0,3.0,30.0,940.0,13.0,,122.0,,285.0
ga_idt-ud-test,454,0,191,4.0,7.0,,,1.0,,2.0,1.0,27.0,2.0,,2.0,84.0,5.0,,26.0,,30.0
ga_idt-ud-dev,451,0,171,3.0,6.0,,,,,2.0,,30.0,,,4.0,79.0,9.0,,15.0,,23.0
fro_profiterole-ud-train,15503,0,1,,,,,,,,,,,,,,,,1.0,,
gd_arcosg-ud-test,545,0,54,,,,,,,,,16.0,,,,34.0,,,,,4.0
gd_arcosg-ud-train,3541,0,367,3.0,,,,5.0,,,,63.0,,,,227.0,,1.0,4.0,,64.0
gd_arcosg-ud-dev,655,0,60,1.0,,,,,,,,15.0,,,,36.0,,,2.0,,6.0
ga_cadhan-ud-test,193,0,84,6.0,3.0,,,4.0,,2.0,,9.0,2.0,,1.0,25.0,3.0,,15.0,,14.0
