Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,iobj,nmod,nsubj,nummod,obl,orphan,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,20,,,,1.0,,1.0,,,18.0,,,,
ro_nonstandard-ud-dev,1052,0,4,,,,,,,,,4.0,,,,
ro_nonstandard-ud-train,24121,0,640,4.0,5.0,1.0,3.0,,43.0,2.0,,575.0,,,7.0,
ro_simonero-ud-test,491,0,77,,,,1.0,,18.0,,,57.0,,,1.0,
ro_simonero-ud-train,3747,0,449,,,,3.0,,130.0,,1.0,313.0,,1.0,1.0,
ro_simonero-ud-dev,443,0,55,,,,1.0,,13.0,,,39.0,,,2.0,
ro_tuecl-ud-test,210,0,0,,,,,,,,,,,,,
ro_rrt-ud-test,729,0,35,,,,,,8.0,,,25.0,,,2.0,
ro_rrt-ud-train,8043,0,449,1.0,,2.0,4.0,2.0,60.0,1.0,4.0,363.0,1.0,,10.0,1.0
ro_rrt-ud-dev,752,0,36,,,,,,4.0,,2.0,28.0,,,2.0,
