Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,nmod,nummod,obj,obl,orphan,parataxis,root,xcomp
it_old-ud-train,1748,0,40,2.0,1.0,,1.0,,1.0,31.0,1.0,1.0,1.0,1.0
it_old-ud-dev,316,0,14,,,,,,,12.0,1.0,,1.0,
it_old-ud-test,338,0,21,1.0,,,,,,19.0,1.0,,,
it_pud-ud-test,1000,0,11,,,2.0,3.0,,,5.0,,,1.0,
it_isdt-ud-test,482,0,1,,,,,,,1.0,,,,
it_isdt-ud-train,13121,0,78,,2.0,1.0,11.0,2.0,,60.0,,,2.0,
it_isdt-ud-dev,564,0,3,,,,1.0,,,2.0,,,,
it_partut-ud-train,1781,0,18,,,1.0,3.0,2.0,,11.0,,,1.0,
it_twittiro-ud-test,142,0,1,,,,,,,1.0,,,,
it_twittiro-ud-train,1138,0,4,,,,,,,4.0,,,,
it_twittiro-ud-dev,144,0,1,,,,,,,,,,1.0,
it_markit-ud-test,340,0,2,,,,,,,2.0,,,,
it_markit-ud-train,611,0,8,,,,2.0,,,6.0,,,,
it_markit-ud-dev,341,0,2,,,,,,,2.0,,,,
it_postwita-ud-train,5368,0,24,1.0,,,6.0,,,12.0,,1.0,4.0,
it_postwita-ud-dev,670,0,2,,,,,,,2.0,,,,
it_postwita-ud-test,674,0,2,,,,1.0,,,1.0,,,,
it_vit-ud-train,8277,0,74,,,,18.0,,,54.0,,,2.0,
it_vit-ud-test,1067,0,8,,,,4.0,,,4.0,,,,
it_vit-ud-dev,743,0,6,,,,3.0,,,3.0,,,,
it_parlamint-ud-test,375,0,1,,,,,,,1.0,,,,
it_parlamint-ud-train,326,0,2,,,,,,,2.0,,,,
