Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,dislocated,list,mark,nmod,nsubj,nummod,obj,obl,root,xcomp
no_bokmaal-ud-test,1939,0,1,,1,,,,,,,,,,,,
sv_talbanken-ud-dev,504,0,8,,1,,,,,,1.0,,,,6.0,,
sv_talbanken-ud-test,1219,0,37,1.0,3,,1.0,,,1.0,2.0,,,,28.0,1.0,
sv_talbanken-ud-train,4303,0,90,1.0,6,,,1.0,,,15.0,,,,62.0,5.0,
sv_lines-ud-dev,1032,0,19,,1,,,,,,4.0,,,,14.0,,
sv_lines-ud-train,3176,0,66,,5,,,1.0,,,14.0,1.0,,,42.0,2.0,1.0
sv_lines-ud-test,1035,0,21,,4,,,1.0,,,2.0,,,,13.0,1.0,
sv_pud-ud-test,1000,0,52,2.0,18,,,,,,4.0,,,,28.0,,
da_ddt-ud-train,4383,0,149,4.0,19,7.0,,,,,24.0,,2.0,1.0,92.0,,
da_ddt-ud-test,565,0,25,,2,,,,,,2.0,,1.0,,20.0,,
da_ddt-ud-dev,564,0,25,,4,,,,1.0,,3.0,,,,15.0,1.0,1.0
