Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dislocated,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,1.0,,,,,,,,,
en_partut-ud-train,1781,0,28,,,,,,15.0,,,,12.0,,,,1.0,
en_partut-ud-test,153,0,2,,,,,,1.0,,,,1.0,,,,,
ga_twittirish-ud-test,866,0,1,,,,,,,,,,1.0,,,,,
ga_twittirish-ud-train,866,0,2,,,,,,,,,,2.0,,,,,
en_atis-ud-test,586,0,6,,,,,,,1.0,,4.0,,,,,1.0,
en_atis-ud-train,4274,0,48,,,3.0,,,3.0,2.0,,21.0,12.0,,,,7.0,
en_atis-ud-dev,572,0,6,,,,,,1.0,,,1.0,4.0,,,,,
en_gum-ud-train,9521,0,189,11.0,,,1.0,,52.0,,,,117.0,,,,5.0,3.0
en_gum-ud-test,1285,0,22,,,,,,8.0,,,,14.0,,,,,
en_gum-ud-dev,1341,0,32,3.0,,,,,9.0,,,1.0,17.0,,,,2.0,
en_lines-ud-train,3176,0,90,1.0,2.0,,4.0,4.0,23.0,,,,40.0,,1.0,,14.0,1.0
en_lines-ud-dev,1032,0,31,,2.0,,,2.0,7.0,,,,14.0,,,,6.0,
en_lines-ud-test,1035,0,29,,1.0,,,,10.0,,,,15.0,1.0,,,2.0,
en_ewt-ud-test,2077,0,26,,,,,,10.0,,,,16.0,,,,,
en_ewt-ud-dev,2001,0,33,,,,,,12.0,,,,15.0,,2.0,,4.0,
en_ewt-ud-train,12544,0,298,9.0,3.0,,,,87.0,,,1.0,189.0,,1.0,,7.0,1.0
pcm_nsc-ud-dev,990,0,3,1.0,,,,,,,,,2.0,,,,,
pcm_nsc-ud-train,7279,0,100,7.0,3.0,,6.0,,5.0,,4.0,2.0,59.0,,,1.0,7.0,6.0
pcm_nsc-ud-test,972,0,12,,2.0,,,,2.0,,,,8.0,,,,,
en_gentle-ud-test,1334,0,9,,,,,,2.0,,,,7.0,,,,,
en_pud-ud-test,1000,0,24,1.0,,,,,9.0,,,,7.0,,,,7.0,
