Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,csubj,flat,nmod,obl,orphan,root
la_perseus-ud-test,939,0,3,,,,,,,3,,
la_perseus-ud-train,1334,0,6,,,,,,,6,,
la_llct-ud-train,7289,0,14,,1.0,,,,3.0,10,,
la_proiel-ud-test,1260,0,14,,1.0,,,,,12,,1.0
la_proiel-ud-dev,1233,0,16,,3.0,,,,,13,,
la_proiel-ud-train,16196,0,235,,31.0,,,,1.0,190,5.0,8.0
la_udante-ud-train,926,0,82,1.0,8.0,,1.0,1.0,,66,4.0,1.0
la_udante-ud-test,419,0,20,,,,,,,17,3.0,
la_udante-ud-dev,376,0,14,,2.0,,,,,12,,
la_ittb-ud-dev,2101,0,30,,3.0,,,,,23,,4.0
la_ittb-ud-test,2101,0,44,1.0,2.0,,,,,37,1.0,3.0
la_ittb-ud-train,22775,0,819,9.0,68.0,10.0,22.0,,6.0,620,17.0,67.0
