Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,nmod,obl,parataxis,root,xcomp
en_partut-ud-train,1781,0,2,,,,2.0,,,,
en_atis-ud-train,4274,0,2,,,,1.0,1.0,,,
en_gum-ud-train,9521,0,25,,1.0,,4.0,19.0,,1.0,
en_gum-ud-test,1285,0,6,,1.0,,1.0,4.0,,,
en_gum-ud-dev,1341,0,2,,,1.0,,1.0,,,
en_lines-ud-train,3176,0,17,,,,5.0,12.0,,,
en_lines-ud-dev,1032,0,1,,,,,1.0,,,
en_lines-ud-test,1035,0,2,1.0,,,,1.0,,,
en_ewt-ud-test,2077,0,4,,,,,2.0,,1.0,1.0
en_ewt-ud-dev,2001,0,4,,,,2.0,2.0,,,
en_ewt-ud-train,12544,0,25,,2.0,,11.0,12.0,,,
pcm_nsc-ud-train,7279,0,3,,,,,1.0,1.0,1.0,
en_pud-ud-test,1000,0,5,,,,1.0,4.0,,,
