Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
tr_pud-ud-test,1000,0,31,,12.0,,,,4.0,,,,12,1.0,,,2.0
tr_atis-ud-dev,572,0,46,,,,,,23.0,,,,23,,,,
tr_atis-ud-train,4274,0,331,1.0,,,,,141.0,1.0,,1.0,181,,,6.0,
tr_atis-ud-test,586,0,41,,,,,,23.0,,,,18,,,,
tr_kenet-ud-dev,1646,0,23,,11.0,,,,1.0,,,,11,,,,
tr_kenet-ud-test,1643,0,17,,9.0,,1.0,,,,,,7,,,,
tr_kenet-ud-train,15398,0,83,,24.0,2.0,2.0,,4.0,,,2.0,46,,1.0,2.0,
tr_framenet-ud-test,205,0,3,,,,,,1.0,,,,2,,,,
tr_framenet-ud-train,2288,0,45,,21.0,,,,8.0,,,,16,,,,
tr_framenet-ud-dev,205,0,2,,,,,,1.0,,,,1,,,,
tr_gb-ud-test,2880,0,39,,11.0,,,,,,,,27,,1.0,,
ota_boun-ud-train,114,0,3,,2.0,,,,,,,,1,,,,
ota_boun-ud-test,400,0,13,,1.0,,,,,,,,11,,,1.0,
qtd_sagt-ud-test,805,0,54,1.0,8.0,,1.0,,4.0,,,,37,,3.0,,
qtd_sagt-ud-dev,801,0,59,,6.0,,,,,,,,48,3.0,1.0,1.0,
qtd_sagt-ud-train,578,0,38,,4.0,5.0,,,2.0,,,,27,,,,
tr_imst-ud-train,3435,0,65,3.0,20.0,9.0,,1.0,1.0,,2.0,,24,,,5.0,
tr_imst-ud-dev,1100,0,15,1.0,5.0,2.0,,,,,,,6,,,1.0,
tr_imst-ud-test,1100,0,4,,2.0,,,,,,,,2,,,,
tr_boun-ud-dev,979,0,25,,6.0,2.0,,,,,,,16,,,1.0,
tr_boun-ud-test,979,0,24,1.0,8.0,1.0,,,,,,,11,,,3.0,
tr_boun-ud-train,7803,0,159,8.0,49.0,13.0,,,2.0,,,1.0,75,1.0,,10.0,
tr_penn-ud-dev,622,0,14,,3.0,,,,8.0,,,,3,,,,
tr_penn-ud-test,924,0,10,,2.0,1.0,,,,,,1.0,3,,,3.0,
tr_penn-ud-train,14850,0,81,1.0,11.0,3.0,3.0,,24.0,,,,37,,,2.0,
