Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,compound,csubj,dep,nmod,obl,parataxis,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,1.0,
en_partut-ud-train,1781,0,8,1.0,1.0,,,,,,3.0,,3.0,
en_gum-ud-train,9521,0,59,5.0,11.0,4.0,3.0,1.0,1.0,1.0,13.0,2.0,13.0,5.0
en_gum-ud-test,1285,0,10,2.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,1.0
en_gum-ud-dev,1341,0,15,,2.0,,,,,,5.0,,4.0,4.0
en_lines-ud-train,3176,0,13,,,,,,,1.0,11.0,,,1.0
en_lines-ud-dev,1032,0,4,,,,,,,,4.0,,,
en_lines-ud-test,1035,0,2,,,,,,,,2.0,,,
en_ewt-ud-test,2077,0,13,1.0,4.0,1.0,1.0,,,1.0,4.0,,1.0,
en_ewt-ud-dev,2001,0,6,,,,,,,,3.0,2.0,,1.0
en_ewt-ud-train,12544,0,90,8.0,8.0,3.0,2.0,3.0,,6.0,29.0,5.0,15.0,11.0
pcm_nsc-ud-train,7279,0,1,,,,,,,,,,1.0,
en_gentle-ud-test,1334,0,10,1.0,1.0,,,,,,1.0,1.0,4.0,2.0
en_pud-ud-test,1000,0,6,,,,,,,1.0,3.0,,,2.0
