Treebank,Number of Sentences,Failures,Total,appos,ccomp,flat,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum
sl_ssj-ud-dev,1250,0,1,,,,,,,,,1.0,,
sl_ssj-ud-train,10903,0,18,,,,3.0,,,,15.0,,,
hr_set-ud-dev,960,0,8,,,,1.0,,4.0,,3.0,,,
hr_set-ud-train,6914,0,54,1.0,1.0,1.0,5.0,,7.0,1.0,37.0,1.0,,
hr_set-ud-test,1136,0,8,,,,2.0,,,,5.0,,1.0,
sr_set-ud-test,520,0,5,,,,2.0,,,,3.0,,,
sr_set-ud-train,3328,0,34,,1.0,,4.0,1.0,6.0,1.0,21.0,,,
sr_set-ud-dev,536,0,5,,,,1.0,,2.0,,2.0,,,
sl_sst-ud-train,4558,0,16,1.0,,,1.0,,,2.0,10.0,,1.0,1.0
sl_sst-ud-test,1041,0,1,,,,,,,,1.0,,,
sl_sst-ud-dev,505,0,7,2.0,,,1.0,,1.0,,2.0,1.0,,
