Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,aux,cc,ccomp,cop,dep,fixed,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,14,,,,,,,,,,,,,6.0,,,,8.0,,,,,
es_gsd-ud-dev,1400,0,62,,,,,,,,,,,,,32.0,,,,30.0,,,,,
es_gsd-ud-train,14187,0,576,4.0,4.0,,1.0,,,,,,,,,288.0,,3.0,2.0,273.0,,,,1.0,
pt_porttinari-ud-train,5893,0,162,2.0,2.0,,1.0,,,,,,,,,80.0,,2.0,,61.0,,,,13.0,1.0
pt_porttinari-ud-test,1683,0,53,2.0,,,,,,,,,,2.0,,36.0,,,,8.0,1.0,,,4.0,
pt_porttinari-ud-dev,842,0,20,,,,,,,,,,,,,15.0,,1.0,,3.0,,,,1.0,
es_ancora-ud-train,14287,0,608,7.0,2.0,13.0,3.0,,,2.0,1.0,,1.0,1.0,,295.0,3.0,31.0,1.0,233.0,,,4.0,9.0,2.0
es_ancora-ud-test,1721,0,67,,1.0,1.0,1.0,,,,,,1.0,,,29.0,,4.0,1.0,29.0,,,,,
es_ancora-ud-dev,1654,0,82,,,,,,,,,,,,,45.0,1.0,4.0,,31.0,,,1.0,,
frm_profiterole-ud-test,512,0,13,,,,,,,,,,,,,1.0,,,,12.0,,,,,
gl_treegal-ud-train,600,0,19,,,,,,,,,,,,,9.0,,2.0,,8.0,,,,,
gl_treegal-ud-test,400,0,14,,,,,,,2.0,,,,,,10.0,,,,1.0,,,,1.0,
gl_ctg-ud-dev,860,0,69,,,,,,,,,2.0,,,,42.0,,1.0,,24.0,,,,,
gl_ctg-ud-test,861,0,57,,,,,,,,,1.0,,,,30.0,1.0,5.0,,20.0,,,,,
gl_ctg-ud-train,2272,0,141,,,4.0,,,,3.0,,2.0,,,,73.0,2.0,2.0,,53.0,,,,2.0,
pt_petrogold-ud-train,7170,0,350,1.0,,,2.0,,,1.0,,,,,,198.0,1.0,13.0,,122.0,,1.0,,11.0,
pt_petrogold-ud-test,1039,0,56,,,,,,,,,,,,,38.0,,4.0,,12.0,,,,2.0,
pt_petrogold-ud-dev,737,0,40,1.0,1.0,,,,,,,,,,,23.0,,2.0,,12.0,,,,1.0,
pt_gsd-ud-dev,1204,0,6,,,,,,,,,,,,,4.0,,,,2.0,,,,,
pt_gsd-ud-test,1200,0,4,,,,,,,,,,,,,3.0,,,,1.0,,,,,
pt_gsd-ud-train,9616,0,60,,1.0,,,,,,,,,,,30.0,,,,27.0,,,,1.0,1.0
es_pud-ud-test,1000,0,50,,,,,,,,,,,,,26.0,,2.0,,22.0,,,,,
fr_pud-ud-test,1000,0,35,,,,,,,,,,,,,21.0,,,,14.0,,,,,
fr_fqb-ud-test,2289,0,14,,,,,,,,,,,,,11.0,,,,3.0,,,,,
pt_cintil-ud-test,3840,0,103,,,,,,,1.0,,4.0,,,,,1.0,,,92.0,,,,5.0,
pt_cintil-ud-dev,3840,0,37,,,,,,,,,,,,,,,1.0,,28.0,,,,8.0,
pt_cintil-ud-train,30720,0,320,,,,2.0,,,1.0,,8.0,,,,,,3.0,1.0,245.0,,3.0,,57.0,
fr_gsd-ud-test,416,0,16,,,,,,,,,,,,,7.0,,,,9.0,,,,,
fr_gsd-ud-train,14450,0,372,,,,,,,,,,,,,178.0,,,1.0,190.0,2.0,,,1.0,
fr_gsd-ud-dev,1476,0,49,,,,,,,,,,,,,22.0,,,,27.0,,,,,
fr_rhapsodie-ud-train,1288,0,14,,,,,,,,,,,,,7.0,,,,7.0,,,,,
fr_rhapsodie-ud-dev,1081,0,4,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,
fr_rhapsodie-ud-test,840,0,8,,,,,,,,,,,,,2.0,,,,5.0,,,,1.0,
fr_parisstories-ud-dev,692,0,2,,,,,,,,,,,,,,,,,2.0,,,,,
fr_parisstories-ud-train,1387,0,8,,,,,,,,,,,,,2.0,,,,4.0,,,,1.0,1.0
fr_parisstories-ud-test,697,0,3,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,
pt_bosque-ud-dev,1172,0,44,,,,,,,,,,,,,31.0,,1.0,,11.0,1.0,,,,
pt_bosque-ud-test,1167,0,48,,,,,,,1.0,,,,,,20.0,,,,27.0,,,,,
pt_bosque-ud-train,7018,0,264,,,1.0,1.0,,,,,,,,,144.0,,,,116.0,,,,2.0,
fro_profiterole-ud-train,15503,0,36,1.0,,1.0,,,,,,,,,6.0,3.0,,,,25.0,,,,,
qaf_arabizi-ud-train,1003,0,2,,,,,,,,,,,,,,,,,2.0,,,,,
qaf_arabizi-ud-dev,139,0,1,,,,,,,,,,,,,,,,,1.0,,,,,
ca_ancora-ud-dev,1709,0,100,,,,2.0,,,,,,,,,49.0,,7.0,,40.0,,,,2.0,
ca_ancora-ud-test,1846,0,92,,,5.0,4.0,,,,,,,,,41.0,,6.0,1.0,35.0,,,,,
ca_ancora-ud-train,13123,0,658,3.0,2.0,5.0,4.0,1.0,1.0,2.0,,,,3.0,,259.0,1.0,46.0,1.0,324.0,,1.0,1.0,4.0,
gl_pud-ud-test,1000,0,43,,,,1.0,,,,,,,,,21.0,,3.0,,18.0,,,,,
fr_partut-ud-dev,107,0,0,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-test,110,0,1,,,,,,,,,,,,,1.0,,,,,,,,,
fr_partut-ud-train,803,0,25,,,,,,,,,,,,,18.0,,1.0,,6.0,,,,,
fr_sequoia-ud-test,456,0,8,,,,,,,,,,,,,3.0,,,,4.0,,,,1.0,
fr_sequoia-ud-train,2231,0,25,,,,,,,,,,,,,10.0,,,,15.0,,,,,
fr_sequoia-ud-dev,412,0,14,1.0,,,,,,,,,,,,7.0,,,,6.0,,,,,
es_coser-ud-test,539,0,3,,,,,,,,,,,,,,,,,3.0,,,,,
