Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,cc,ccomp,csubj,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
orv_rnc-ud-dev,943,0,2,,,,,,,,,,,,2.0,,,,
orv_rnc-ud-train,1868,0,1,,,,,,,,,,,,1.0,,,,
orv_rnc-ud-test,717,0,2,,,,,,,,1.0,,,,1.0,,,,
orv_ruthenian-ud-test,390,0,5,,,,,,,,,,,,4.0,,,1.0,
orv_ruthenian-ud-train,2789,0,6,,,,,,,,3.0,,,,3.0,,,,
ru_taiga-ud-train,16045,0,22,,,,,,,,7.0,2.0,1.0,1.0,8.0,,1.0,1.0,1.0
ru_taiga-ud-test,881,0,1,,,,,,,,,,,,,,,1.0,
ru_syntagrus-ud-train,69630,0,356,,,,1.0,1.0,,,47.0,92.0,5.0,,171.0,,23.0,16.0,
ru_syntagrus-ud-dev,8906,0,37,,,,,,,,5.0,8.0,,,19.0,,4.0,1.0,
ru_syntagrus-ud-test,8800,0,53,,,1.0,,,,,7.0,20.0,,,21.0,,3.0,1.0,
ru_poetry-ud-test,728,0,1,,,,,,,,,,,,1.0,,,,
ru_pud-ud-test,1000,0,6,,,,,,,,,,5.0,,1.0,,,,
orv_torot-ud-test,2955,0,8,1.0,,,,,,,1.0,,,,6.0,,,,
orv_torot-ud-dev,3061,0,7,,,,,,,,,,,1.0,6.0,,,,
orv_torot-ud-train,20480,0,66,1.0,1.0,3.0,,,,,4.0,,,,49.0,4.0,,4.0,
ru_gsd-ud-test,601,0,1,,,,,,,,,,,,,,1.0,,
ru_gsd-ud-dev,579,0,9,,,,,,,,1.0,,1.0,1.0,6.0,,,,
ru_gsd-ud-train,3850,0,37,1.0,,1.0,,,,,9.0,4.0,,2.0,16.0,,2.0,2.0,
bg_btb-ud-train,8907,0,73,,1.0,,,,,7.0,27.0,13.0,,3.0,19.0,,,3.0,
bg_btb-ud-test,1116,0,11,,,,,,1.0,,6.0,,1.0,,2.0,,,1.0,
bg_btb-ud-dev,1115,0,10,,,,,,,2.0,2.0,1.0,,,4.0,,,1.0,
