Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,discourse,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root
tl_ugnayan-ud-test,94,0,51,1.0,,,,,,,16.0,,,,33.0,,,1.0
hr_set-ud-dev,960,0,154,,4.0,1.0,1.0,1.0,,,56.0,,1.0,,82.0,5.0,2.0,1.0
hr_set-ud-train,6914,0,1136,5.0,13.0,2.0,6.0,,1.0,1.0,516.0,1.0,11.0,1.0,562.0,2.0,10.0,5.0
hr_set-ud-test,1136,0,182,,4.0,,1.0,1.0,,,74.0,,,,100.0,,2.0,
qpm_philotis-ud-test,635,0,1,,,,,,,,,,,,1.0,,,
ga_twittirish-ud-dev,864,0,1,,,,,,,,,,,,,,,1.0
sr_set-ud-test,520,0,80,,4.0,,,,,,32.0,,,,44.0,,,
sr_set-ud-train,3328,0,560,,12.0,,1.0,2.0,,,229.0,,1.0,,312.0,1.0,2.0,
sr_set-ud-dev,536,0,81,,6.0,,,,,,25.0,,1.0,,46.0,2.0,1.0,
ceb_gja-ud-test,188,0,50,1.0,1.0,1.0,,,,,2.0,,,20.0,25.0,,,
tl_trg-ud-test,128,0,27,,,,,,,,,,,,24.0,,,3.0
