Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,expl,nmod,nsubj,nummod,obl,punct,root,xcomp
cs_pud-ud-test,1000,0,10,,,,,,,,,,,2.0,1.0,,7.0,,,
cs_fictree-ud-dev,1309,0,6,,,,,,,,,,,,,,6.0,,,
cs_fictree-ud-train,10160,0,71,,1.0,,,,,,,,,9.0,,,61.0,,,
cs_fictree-ud-test,1291,0,9,,,,,,1.0,,,,,2.0,,,6.0,,,
cs_pdt-ud-test,10146,0,54,,,,,,,,1.0,,,19.0,7.0,1.0,25.0,,1.0,
cs_pdt-ud-dev,9270,0,44,,,,,,1.0,,,,,13.0,6.0,4.0,18.0,,2.0,
cs_pdt-ud-train,68491,0,364,1.0,1.0,1.0,2.0,1.0,,1.0,,11.0,1.0,131.0,23.0,24.0,159.0,1.0,7.0,
cs_cac-ud-dev,603,0,6,,,,,1.0,,,,,,1.0,,1.0,3.0,,,
cs_cac-ud-train,23478,0,128,,,,1.0,1.0,,,,1.0,,35.0,8.0,11.0,69.0,,1.0,1.0
cs_poetry-ud-test,297,0,0,,,,,,,,,,,,,,,,,
