Treebank,Number of Sentences,Failures,Total,advcl,nmod,nummod,obl,orphan,parataxis,root
it_old-ud-train,1748,0,5,1.0,,,3.0,1.0,,
it_valico-ud-test,398,0,2,,,,2.0,,,
it_pud-ud-test,1000,0,12,,1.0,,11.0,,,
it_isdt-ud-test,482,0,5,,,,5.0,,,
it_isdt-ud-train,13121,0,154,,14.0,1.0,139.0,,,
it_isdt-ud-dev,564,0,3,,,,3.0,,,
it_partut-ud-dev,156,0,1,,,,1.0,,,
it_partut-ud-test,153,0,1,,,,1.0,,,
it_partut-ud-train,1781,0,21,,2.0,,18.0,,,1.0
it_twittiro-ud-test,142,0,2,,,,2.0,,,
it_twittiro-ud-train,1138,0,5,,,,4.0,,1.0,
it_twittiro-ud-dev,144,0,1,,1.0,,,,,
it_markit-ud-test,340,0,5,,,,5.0,,,
it_markit-ud-train,611,0,8,,1.0,,7.0,,,
it_markit-ud-dev,341,0,8,,,,8.0,,,
it_postwita-ud-train,5368,0,28,,1.0,,26.0,,,1.0
it_postwita-ud-dev,670,0,5,,,,5.0,,,
it_postwita-ud-test,674,0,2,,,,2.0,,,
it_vit-ud-train,8277,0,113,3.0,14.0,,96.0,,,
it_vit-ud-test,1067,0,21,,3.0,,18.0,,,
it_vit-ud-dev,743,0,43,,6.0,,37.0,,,
it_parlamint-ud-test,375,0,2,,,,2.0,,,
it_parlamint-ud-train,326,0,4,,,,4.0,,,
