Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,discourse,flat,iobj,list,nmod,nsubj,obj,obl,parataxis,root,xcomp
tr_pud-ud-test,1000,0,10,,7.0,,1.0,,,,,,,,,1.0,,,1.0
tr_kenet-ud-dev,1646,0,41,1.0,16.0,,2.0,,,,,,2.0,,2.0,18.0,,,
tr_kenet-ud-test,1643,0,34,1.0,18.0,,4.0,,,,,,,,2.0,5.0,,4.0,
tr_kenet-ud-train,15398,0,162,2.0,50.0,5.0,36.0,1.0,,1.0,1.0,1.0,10.0,,6.0,43.0,2.0,3.0,1.0
tr_framenet-ud-test,205,0,2,,2.0,,,,,,,,,,,,,,
tr_framenet-ud-train,2288,0,35,,29.0,,1.0,,,,,,,,,4.0,,1.0,
tr_framenet-ud-dev,205,0,4,,3.0,,,,,,,,,,,1.0,,,
tr_gb-ud-test,2880,0,5,,,,,,,1.0,,,3.0,,,1.0,,,
ota_dudu-ud-test,85,0,2,,1.0,,,,,,,,,,,1.0,,,
qtd_sagt-ud-test,805,0,6,,,,,,,,,,1.0,1.0,2.0,2.0,,,
qtd_sagt-ud-dev,801,0,3,1.0,,,2.0,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,1,,,,,,,1.0,,,,,,,,,
tr_tourism-ud-train,15473,0,4,,,,1.0,,,,,,2.0,1.0,,,,,
tr_tourism-ud-dev,2166,0,2,,,,2.0,,,,,,,,,,,,
tr_imst-ud-train,3435,0,99,1.0,32.0,22.0,18.0,,,,,,12.0,,1.0,10.0,,3.0,
tr_imst-ud-dev,1100,0,25,,9.0,2.0,9.0,,,,,,2.0,,,3.0,,,
tr_imst-ud-test,1100,0,35,,13.0,4.0,7.0,,1.0,,,,5.0,,1.0,3.0,,1.0,
tr_boun-ud-dev,979,0,15,,12.0,,,,,,,,1.0,,,1.0,,1.0,
tr_boun-ud-test,979,0,10,,6.0,,3.0,,,,,,,,,,,1.0,
tr_boun-ud-train,7803,0,160,,99.0,4.0,18.0,,1.0,1.0,,,12.0,,6.0,14.0,,5.0,
tr_penn-ud-dev,622,0,4,,,,3.0,,,,,,,,1.0,,,,
tr_penn-ud-test,924,0,2,,,,,,,,,,,,,,2.0,,
tr_penn-ud-train,14850,0,112,,19.0,,65.0,,,,,,2.0,,,5.0,13.0,8.0,
