Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,csubj,dep,discourse,expl,fixed,flat,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,298,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,104.0,,,,185.0,2.0,1.0,,,1.0,
sl_ssj-ud-dev,1250,0,336,,,2.0,,7.0,,,,,,,,,,,,,122.0,,,,196.0,5.0,3.0,,,1.0,
sl_ssj-ud-train,10903,0,2467,,,7.0,,24.0,,,,,,,,,,,1.0,,788.0,,,,1600.0,22.0,15.0,,,8.0,2.0
pl_pdb-ud-test,2215,0,467,,1.0,,,,,,,,,,,,,,,,183.0,2.0,,,275.0,,2.0,,,4.0,
pl_pdb-ud-train,17722,0,4293,,6.0,4.0,3.0,,,,4.0,,,,,,,,,,1657.0,5.0,,3.0,2565.0,2.0,8.0,,,36.0,
pl_pdb-ud-dev,2215,0,560,,1.0,,,,,,,,,,,,,,,,216.0,,,,340.0,,1.0,,,2.0,
sk_snk-ud-dev,1060,0,103,,,,,,,,,,,,,,,,,,57.0,,3.0,,43.0,,,,,,
sk_snk-ud-test,1061,0,77,,,,,,,,,,,,,,,,,,36.0,,,,41.0,,,,,,
sk_snk-ud-train,8483,0,475,,,,,1.0,,,,,,2.0,,,,,,,180.0,,,,292.0,,,,,,
cs_pud-ud-test,1000,0,153,,,,,,,,,,,,,,,,,,110.0,,,,41.0,,,,,2.0,
hsb_ufal-ud-test,623,0,142,,,1.0,,2.0,,,,,,,,,,,,,74.0,,,2.0,60.0,2.0,,,,1.0,
hsb_ufal-ud-train,23,0,5,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,,,,
cs_cltt-ud-dev,316,0,44,,,,,,,,,,,,,,,,,,27.0,,,,17.0,,,,,,
cs_cltt-ud-train,467,0,103,,,,,,,,,,,,,,,,,,83.0,,,,20.0,,,,,,
cs_cltt-ud-test,338,0,42,,,,,,,,,,,,,,,,,,20.0,,,,22.0,,,,,,
cs_fictree-ud-dev,1309,0,87,,,,,,,,,,,1.0,,,,,,,28.0,,,,56.0,,,,,2.0,
cs_fictree-ud-train,10160,0,800,,,2.0,,,,,2.0,2.0,,19.0,,,,,,,268.0,,,,502.0,,,,,5.0,
cs_fictree-ud-test,1291,0,97,,,,,1.0,,,,,,2.0,,,,,,,26.0,,,,65.0,,,,,3.0,
sl_sst-ud-train,4558,0,429,,,,1.0,8.0,,,1.0,,,,,,,,,,85.0,2.0,1.0,,273.0,16.0,9.0,,13.0,20.0,
sl_sst-ud-test,1041,0,77,,,1.0,,1.0,,,,,,,,,,,,,9.0,,,1.0,56.0,2.0,1.0,,1.0,5.0,
sl_sst-ud-dev,505,0,103,,,1.0,,2.0,,,1.0,,,,,,,,,,32.0,,,,58.0,2.0,3.0,,3.0,1.0,
de_gsd-ud-train,13814,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_pdt-ud-test,10146,0,1027,7.0,,1.0,1.0,5.0,,,2.0,2.0,1.0,20.0,,,,1.0,,1.0,559.0,3.0,5.0,1.0,394.0,,1.0,5.0,,17.0,1.0
cs_pdt-ud-dev,9270,0,1029,9.0,1.0,,,4.0,,1.0,1.0,2.0,,12.0,,,,1.0,,,549.0,1.0,8.0,,404.0,,,4.0,,31.0,1.0
cs_pdt-ud-train,68491,0,7897,49.0,10.0,5.0,21.0,16.0,1.0,5.0,7.0,16.0,6.0,116.0,,1.0,14.0,6.0,,7.0,4051.0,9.0,64.0,5.0,3224.0,1.0,3.0,20.0,,233.0,7.0
pl_pud-ud-test,1000,0,273,,2.0,,,,,,,,,,,,,1.0,,,105.0,,,,164.0,,,,,1.0,
cs_cac-ud-dev,603,0,43,,,,,,,,,,,,,,,,,,21.0,,,,21.0,,,,,1.0,
cs_cac-ud-train,23478,0,3319,,2.0,6.0,12.0,16.0,,1.0,,,,47.0,,,1.0,,,,1561.0,,14.0,1.0,1626.0,2.0,,,,28.0,2.0
cs_cac-ud-test,628,0,59,,,,,1.0,,,,,,1.0,,,,,,,31.0,,,,25.0,,,,,1.0,
pl_lfg-ud-test,1727,0,173,,,,,,,,,,,,,,,,,,57.0,,,,116.0,,,,,,
pl_lfg-ud-train,13774,0,1341,,,,,,,,,,,,,,,,,,381.0,,,,959.0,,,,,1.0,
pl_lfg-ud-dev,1745,0,175,,,,,,,,,,,,,,,,,,59.0,,,,116.0,,,,,,
cs_poetry-ud-test,297,0,48,,,,,1.0,,,,,,1.0,,,,,,,10.0,,,,36.0,,,,,,
