Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,iobj,nmod,obl,reparandum,root,xcomp
frm_profiterole-ud-test,512,0,13,,1.0,,,,,1.0,11.0,,,
fr_pud-ud-test,1000,0,45,,16.0,,,,,5.0,23.0,,1.0,
fr_fqb-ud-test,2289,0,3,,,,,,,,3.0,,,
fr_gsd-ud-test,416,0,10,,2.0,,,,,2.0,6.0,,,
fr_gsd-ud-train,14450,0,362,,76.0,,,,,25.0,257.0,,4.0,
fr_gsd-ud-dev,1476,0,30,,9.0,,,,,3.0,18.0,,,
fr_rhapsodie-ud-train,1288,0,13,,2.0,,,,,,6.0,,5.0,
fr_rhapsodie-ud-dev,1081,0,13,,,,1.0,,,,7.0,,5.0,
fr_rhapsodie-ud-test,840,0,5,,1.0,,,,,1.0,3.0,,,
fr_parisstories-ud-dev,692,0,10,,,,,,,,3.0,1.0,6.0,
fr_parisstories-ud-train,1387,0,9,,,,,,,,2.0,,7.0,
fr_parisstories-ud-test,697,0,9,,1.0,,,1.0,,,3.0,2.0,2.0,
fro_profiterole-ud-train,15503,0,27,1.0,4.0,1.0,,,3.0,2.0,14.0,,1.0,1.0
qaf_arabizi-ud-train,1003,0,2,,,,,,,1.0,1.0,,,
qaf_arabizi-ud-test,145,0,2,,,,,,,2.0,,,,
fr_partut-ud-dev,107,0,1,1.0,,,,,,,,,,
fr_partut-ud-test,110,0,5,,,,,,,,5.0,,,
fr_partut-ud-train,803,0,6,1.0,,1.0,,,,1.0,3.0,,,
fr_sequoia-ud-test,456,0,22,1.0,3.0,,,,,3.0,15.0,,,
fr_sequoia-ud-train,2231,0,78,,6.0,,,,,10.0,62.0,,,
fr_sequoia-ud-dev,412,0,11,,1.0,,,,,3.0,7.0,,,
