Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,cc,ccomp,csubj,dep,dislocated,flat,mark,nmod,nsubj,obl,orphan,parataxis,root,xcomp
la_circse-ud-test,1263,0,33,1.0,,,,,,,,,,2.0,,30,,,,
la_perseus-ud-test,939,0,22,1.0,,,,,,,,,,2.0,,18,,,,1.0
la_perseus-ud-train,1334,0,51,,,,,,,,,,,4.0,,47,,,,
la_llct-ud-dev,850,0,51,,,,,,,,,,,46.0,,5,,,,
la_llct-ud-test,884,0,69,,1.0,,,,,,,,1.0,42.0,,25,,,,
la_llct-ud-train,7289,0,663,17.0,,,2.0,,,,,2.0,3.0,389.0,,248,,,2.0,
la_proiel-ud-test,1260,0,48,1.0,,,,,,,,,,3.0,,41,1.0,,2.0,
la_proiel-ud-dev,1233,0,70,3.0,4.0,,,,,,,,,2.0,,56,1.0,,4.0,
la_proiel-ud-train,16196,0,802,22.0,19.0,16.0,,10.0,1.0,1.0,1.0,,,38.0,5.0,614,22.0,1.0,48.0,4.0
de_lit-ud-test,1920,0,1,,,,,,,,,,,,,1,,,,
la_udante-ud-train,926,0,53,,2.0,,,2.0,,,,,,4.0,,43,1.0,,1.0,
la_udante-ud-test,419,0,37,,1.0,,,,,,,,,,,21,15.0,,,
la_udante-ud-dev,376,0,20,,1.0,,,,,,,,,,,18,1.0,,,
la_ittb-ud-dev,2101,0,10,,1.0,2.0,,,,,,,,3.0,,4,,,,
la_ittb-ud-test,2101,0,13,,2.0,1.0,,,,,,,,5.0,,5,,,,
la_ittb-ud-train,22775,0,324,,13.0,25.0,,,4.0,,,,1.0,76.0,,187,8.0,,8.0,2.0
